song,times_played,ltp_date,current_gap,avg_gap,gap_ratio,gap_z_score,ck+_score
All I Need,139,2025-02-13,9,1.7525773195876289,5.135294117647059,2.2225565205077653,11.413481425901642
Indian River,114,2024-10-30,30,4.628318584070796,6.4818355640535374,1.5819149330384619,10.253712472276073
Honeybee,33,2024-06-10,73,8.625,8.46376811594203,1.1554022280515301,9.779056538870922
Jive Lee,82,2024-11-07,25,5.329268292682927,4.691075514874142,1.0758187212188177,5.046746861552807
Yeti,102,2025-02-10,11,3.8839285714285716,2.8321839080459768,1.1532156979805868,3.266118942326627
Turbulence & The Night Rays,39,2025-02-06,14,5.447368421052632,2.570048309178744,1.194107450528013,3.06891383420726
Slow Ready,85,2025-02-10,11,4.67816091954023,2.3513513513513513,0.9462898768347051,2.2250599806653875
Lead the Way,84,2024-11-09,23,6.309523809523809,3.6452830188679246,0.5371896824717207,1.958208427425216
Creatures,128,2025-02-14,8,4.2047244094488185,1.9026217228464422,0.862823323563593,1.6416263983906565
Wysteria Lane,106,2025-02-10,11,4.726415094339623,2.3273453093812377,0.698084119637422,1.624682801391685
Dr. Darkness,40,2025-02-06,14,6.17948717948718,2.2655601659751037,0.6933325104899141,1.570786517541465
Borne,42,2025-02-08,12,5.738095238095238,2.091286307053942,0.7282334167672095,1.522944572824372
Jive I,126,2025-02-13,9,4.333333333333333,2.076923076923077,0.6926155898956547,1.4385093020909754
"One In, One Out",10,2025-02-14,8,5.333333333333333,1.5,0.9486832980505138,1.4230249470757705
Butterflies,19,2024-11-01,28,10.722222222222221,2.6113989637305703,0.5089173520766436,1.3289862458374528
Mr. Action,32,2025-02-13,9,5.225806451612903,1.7222222222222223,0.6817998353559446,1.17421082755746
Arcadia,196,2025-04-25,4,2.782828282828283,1.4373865698729582,0.7807796601396979,1.1222821975147745
Time to Flee,101,2025-02-13,9,4.419047619047619,2.0366379310344827,0.5300255836583865,1.0794702080973604
Hot Love & The Lazy Poet,21,2025-04-24,5,4.0,1.25,0.8407408864181862,1.0509261080227328
Escape (The Piña Colada Song),28,2024-06-18,67,16.88888888888889,3.9671052631578947,0.25872895913045474,1.0264050154977908
The Whales,43,2025-02-06,14,7.166666666666667,1.9534883720930232,0.508190072017745,0.9927433964997809
The Old Man's Boat,27,2024-11-08,24,9.653846153846153,2.4860557768924303,0.3772150679856657,0.937777698896635
Doobie Song,23,2024-09-04,54,16.545454545454547,3.2637362637362637,0.2857542214654659,0.9326264151125646
Madhuvan,153,2025-04-24,5,3.3212121212121213,1.5054744525547445,0.6133694904333302,0.9234120978239004
Hot Tea,136,2025-04-25,4,3.0821917808219177,1.297777777777778,0.6794396313070701,0.8817616548518421
Earthling or Alien?,45,2025-02-10,11,6.488888888888889,1.6952054794520548,0.45407947795458586,0.7697580191353425
Electric Avenue,37,2024-10-30,30,11.11111111111111,2.7,0.2821279624125254,0.7617454985138187
Magic Carpet Ride,10,2024-06-18,67,20.3,3.300492610837438,0.21720348958177124,0.7168785124127425
Silver Rising,59,2025-04-24,5,4.224137931034483,1.183673469387755,0.5562716717387894,0.6584440196091793
So Ready,138,2025-04-24,5,3.9420289855072466,1.2683823529411764,0.4719485154819969,0.5986111685341504
A Fifth Of Beethoven,13,2024-06-11,72,22.692307692307693,3.172881355932203,0.17006863082717483,0.5396075879804597
Big Modern!,16,2025-05-08,3,3.375,0.8888888888888888,0.5925925925925926,0.5267489711934156
White Lights,67,2025-02-13,9,5.847222222222222,1.5391923990498813,0.31667530215041173,0.48742421803673824
Travelers,27,2024-11-07,25,11.26923076923077,2.2184300341296925,0.2077343635974296,0.4608441513253557
Switchin',27,2024-09-03,55,19.03846153846154,2.888888888888889,0.1589033222442134,0.45905404203883876
Please Forgive Me,11,2024-09-11,50,23.0,2.1739130434782608,0.2014571945267007,0.4379504228841319
Elizabeth,61,2025-02-10,11,7.573770491803279,1.4523809523809523,0.29575643670413426,0.42955101521314737
Make The Move,18,2024-06-20,66,21.72222222222222,3.038363171355499,0.12180646679716638,0.3700922827494467
Can't Get You Out Of My Head,22,2024-10-26,32,18.38095238095238,1.7409326424870468,0.15451465922828103,0.2689996139932769
I'm Alright,15,2024-06-20,66,24.4375,2.70076726342711,0.09614605266934503,0.25966811155710573
Jive II,82,2025-02-15,7,6.691358024691358,1.0461254612546125,0.22887778639954237,0.23943487986815593
No Rain,17,2024-06-28,60,25.125,2.388059701492537,0.09955002713808454,0.23773140809094814
Mas Que Nada,22,2024-10-24,34,20.095238095238095,1.6919431279620853,0.13533792188884647,0.22898406689250328
Liza Jane,19,2024-06-25,62,22.27777777777778,2.7830423940149625,0.06478521006320413,0.18029998611106188
Look Out Cleveland,10,2024-09-22,41,29.555555555555557,1.3872180451127818,0.11722969395319283,0.16262314687491786
Tomorrow Never Knows,12,2024-09-22,41,28.0,1.4642857142857142,0.10432603748229624,0.15276312631336234
Turn On Your Love Light,51,2025-02-07,13,10.44,1.2452107279693487,0.11057172555410925,0.13768509887005942
A Western Sun,68,2025-02-14,8,8.059701492537313,0.9925925925925927,0.1361532423337104,0.13514469979790514
Rockdale,62,2025-05-09,2,4.26984126984127,0.4684014869888476,0.26869465362900685,0.12585697530578016
The Empress Of Organos,69,2025-05-09,2,3.7625,0.5315614617940199,0.22666182928953552,0.12048469331005209
