song,times_played,ltp_date,current_gap,avg_gap,gap_ratio,gap_z_score,ck+_score
All I Need,140,2025-05-31,8,1.7918088737201365,4.464761904761905,1.8362489119672563,8.198414189811903
Butter Rum,110,2025-05-10,14,4.150442477876106,3.3731343283582094,1.2198138163275025,4.114595858059935
White Lights,67,2025-02-13,23,5.847222222222222,3.9334916864608074,0.8092813277177188,3.183301374585611
Elizabeth,61,2025-02-10,25,7.573770491803279,3.3008658008658007,0.6721737197821234,2.218755243869563
Escape (The Piña Colada Song),28,2024-06-18,81,16.88888888888889,4.796052631578947,0.3127917267099527,1.5001655840233914
Doobie Song,23,2024-09-04,68,16.545454545454547,4.1098901098901095,0.3598386492528089,1.4788973057203354
Mr. Action,33,2025-05-28,10,5.46875,1.8285714285714285,0.6439466931524958,1.1775025246217066
Red Bird,52,2025-05-31,8,5.0588235294117645,1.5813953488372094,0.711757709924608,1.1255703319737986
Borne,43,2025-05-27,11,5.953488372093023,1.84765625,0.5829582692138593,1.0771064896021698
Magic Carpet Ride,10,2024-06-18,81,20.3,3.9901477832512313,0.26258929337497716,1.0477700868656723
Feel It Now,30,2025-05-30,9,5.793103448275862,1.5535714285714286,0.5860617216601961,0.9104887461506618
Hungersite,66,2025-06-04,5,3.8461538461538463,1.3,0.6371124235052693,0.8282461505568501
A Fifth Of Beethoven,13,2024-06-11,86,22.692307692307693,3.789830508474576,0.20313753126579218,0.7698568134073073
Switchin',27,2024-09-03,69,19.03846153846154,3.624242424242424,0.19935144063364957,0.7224979484783178
Please Forgive Me,11,2024-09-11,64,23.0,2.782608695652174,0.2578652089941769,0.7175379728533618
Lead Up,32,2025-06-01,7,5.34375,1.3099415204678362,0.5141602895466278,0.6735199114528926
Dr. Darkness,41,2025-05-28,10,6.475,1.5444015444015444,0.41428852442791664,0.6398278369543114
Can't Get You Out Of My Head,22,2024-10-26,46,18.38095238095238,2.5025906735751295,0.22211482264065394,0.5558624836032946
Make The Move,18,2024-06-20,80,21.72222222222222,3.6828644501278776,0.14764420217838348,0.5437535834702615
Shama Lama Ding Dong,43,2025-02-11,24,12.285714285714286,1.9534883720930232,0.26227262866963746,0.512346530424408
Atlas Dogs,50,2025-06-03,6,5.326530612244898,1.1264367816091954,0.44999346383326466,0.5068891891455165
Big Modern!,20,2025-06-07,3,3.4,0.8823529411764706,0.5622069520266596,0.496064957670582
California Magic,45,2025-06-01,7,5.613636363636363,1.2469635627530364,0.3950455122699137,0.49260735942969
Slow Ready,87,2025-06-04,5,4.797752808988764,1.0421545667447307,0.39767269936476635,0.4144364197126956
I'm Alright,15,2024-06-20,80,24.4375,3.2736572890025575,0.11654066990223641,0.3815142134906972
Fish In The Sea,26,2025-05-08,17,12.52,1.3578274760383386,0.273338838836734,0.37114698564093274
No Rain,17,2024-06-28,74,25.125,2.945273631840796,0.12277836680363761,0.3616158863072312
726,37,2025-05-10,14,8.805555555555555,1.5899053627760253,0.22123277067879743,0.35173916852401865
Echo of a Rose,99,2025-06-06,4,4.18018018018018,0.9568965517241379,0.3508160690733719,0.3356946867857265
Wysteria Lane,108,2025-06-04,5,4.824074074074074,1.036468330134357,0.300651145364575,0.31161539058900284
Time to Flee,102,2025-06-04,5,4.5046728971962615,1.1099585062240664,0.27405731384780857,0.30419224669829376
Look Out Cleveland,10,2024-09-22,55,29.555555555555557,1.8609022556390977,0.157259345546966,0.29264427084867733
Bob Don,55,2025-06-03,6,6.537037037037037,0.9178470254957507,0.315898575019697,0.2899465674401751
Liza Jane,19,2024-06-25,76,22.27777777777778,3.4114713216957604,0.07941412846457281,0.2709190217943531
The Empress Of Organos,70,2025-06-07,3,3.876543209876543,0.7738853503184714,0.30508224351448254,0.2360986788981505
Seekers on the Ridge pt II,51,2025-06-04,5,6.22,0.8038585209003216,0.2743805683272204,0.22056315781930902
Seekers on the Ridge pt I,51,2025-06-04,5,6.22,0.8038585209003216,0.2730850298163029,0.21952172814815346
Creatures,130,2025-06-07,3,4.286821705426356,0.6998191681735986,0.305338080927687,0.21368144180653684
Jive Lee,83,2025-06-03,6,5.662650602409639,1.0595744680851062,0.20021658967405165,0.21214438650569725
Drive,103,2025-06-06,4,4.247706422018348,0.941684665226782,0.20117841382686105,0.18944662727540265
The W.S. Walcott Medicine Show,18,2024-09-24,54,24.055555555555557,2.2448036951501154,0.08436858869324977,0.18939091965320734
Moby,20,2025-02-13,23,15.105263157894736,1.5226480836236935,0.11525167679181733,0.17548774480147797
Rock The Casbah,12,2024-10-30,44,25.90909090909091,1.6982456140350877,0.10231678035364591,0.1737590234777706
Jive II,83,2025-06-03,6,6.7926829268292686,0.8833034111310593,0.190608930795436,0.16836551876365263
Turbulence & The Night Rays,41,2025-06-06,4,5.775,0.6926406926406926,0.2308884535499231,0.15992273838955712
Loose Ends,16,2024-11-12,35,23.8,1.4705882352941175,0.09753887051967443,0.14343951547010944
Madhuvan,155,2025-06-10,2,3.363095238095238,0.5946902654867257,0.23397437323742715,0.13914228213765578
I Would Die 4 U,9,2025-05-25,12,13.0,0.9230769230769231,0.14341279990750744,0.1323810460684684
Indian River,115,2025-06-06,4,4.93859649122807,0.8099467140319716,0.1542258648847788,0.12491473248216542
Dripfield,58,2025-06-10,2,4.362068965517241,0.45849802371541504,0.2628782576477198,0.12052916160923123
