song,times_played_last_year,last_time_played_date,current_show_gap,average_gap,median_gap
Hot Love & The Lazy Poet,20,2025-04-24,3,3.895,4.0
Arcadia,19,2025-04-25,0,4.278,3.5
Silver Rising,17,2025-04-24,3,4.375,4.0
All I Need,16,2025-02-13,4,4.8,5.0
Drive,16,2025-05-08,6,4.467,4.0
Big Modern!,16,2025-05-08,5,3.467,3.0
Hot Tea,16,2025-04-25,0,5.133,5.0
Give it Time,15,2025-05-08,3,5.0,4.5
So Ready,14,2025-04-24,3,5.231,4.0
Turned Clouds,14,2025-05-08,0,6.0,6.0
Mr. Action,14,2025-02-13,4,5.538,5.0
Creatures,13,2025-02-14,6,5.75,5.5
Lead Up,13,2025-05-08,7,5.5,5.0
Slow Ready,13,2025-02-10,4,6.0,5.5
Madhuvan,13,2025-04-24,3,5.833,6.0
Yeti,13,2025-02-10,4,6.0,5.5
Into the Myst,13,2025-05-08,9,5.667,5.0
Turbulence & The Night Rays,12,2025-02-06,11,6.091,7.0
Same Old Shenanigans,12,2025-02-08,9,6.273,4.0
A Western Sun,11,2025-02-14,4,6.7,4.5
Dr. Darkness,11,2025-02-06,11,6.1,6.0
Borne,11,2025-02-08,9,6.7,7.5
"One In, One Out",10,2025-02-14,6,4.889,5.0
Earthling or Alien?,9,2025-02-10,4,9.25,8.0
Wysteria Lane,9,2025-02-10,4,9.25,8.5
Jive Lee,9,2024-11-07,15,7.875,6.5
The Whales,9,2025-02-06,11,7.875,7.0
Jive I,9,2025-02-13,7,8.875,8.5
Indian River,8,2024-10-30,19,7.571,5.0
Jive II,8,2025-02-15,5,9.429,9.0
Elizabeth,8,2025-02-10,4,9.143,7.0
This Old Sea,8,2025-02-14,6,8.714,6.0
Interlude II,7,2025-02-13,4,8.333,9.0
White Lights,7,2025-02-13,7,11.5,8.5
Time to Flee,7,2025-02-13,7,11.5,9.5
Factory Fiction,6,2025-02-11,8,11.2,11.0
Fish In The Sea,6,2025-05-08,9,12.0,9.0
Shama Lama Ding Dong,6,2025-02-11,8,12.4,9.0
Sinnerman,6,2025-04-24,3,10.4,7.0
Your Ocean,6,2025-02-10,4,14.4,10.0
My Mind Has Been Consumed By Media,5,2024-11-10,26,5.75,6.0
Lead the Way,5,2024-11-09,28,10.75,6.5
Rosewood Heart,5,2025-02-11,8,15.5,16.0
Spirit Of The Dark Horse,5,2025-02-15,5,16.5,16.0
The Way It Is,5,2025-02-10,4,17.0,15.0
Travelers,5,2024-11-07,29,11.0,12.5
Turn On Your Love Light,5,2025-02-07,10,11.0,8.5
(dawn),5,2025-02-15,5,17.25,18.5
Doc Brown,5,2025-02-14,6,16.0,16.5
Don't Do It,5,2024-11-24,13,15.5,18.0
Elmeg The Wise,5,2024-11-07,29,11.0,12.5
Butterflies,5,2024-11-01,31,10.0,7.5
Pumped Up Kicks,4,2024-11-13,14,10.0,10.0
Green River,4,2025-02-07,10,19.333,17.0
Mas Que Nada,4,2024-10-24,35,13.667,6.0
I'm Writing A Novel,4,2025-02-06,11,19.667,20.0
The Old Man's Boat,4,2024-11-08,27,15.0,11.0
Eminence Front,4,2024-11-12,12,22.0,19.0
Hollywood Nights,4,2024-11-04,12,20.333,24.0
Jeff Engborg,4,2025-02-07,10,15.333,9.0
No California,3,2025-02-08,9,32.5,32.5
Electric Avenue,3,2024-10-30,33,17.5,17.5
Can't Get You Out Of My Head,3,2024-10-26,15,31.0,31.0
Loose Ends,3,2024-11-12,25,18.0,18.0
Rock The Casbah,3,2024-10-30,33,16.0,16.0
Don’t Leave Me This Way,3,2025-02-14,6,8.0,8.0
Bloodbuzz Ohio,3,2025-02-06,11,22.0,22.0
Moby,3,2025-02-13,7,31.5,31.5
AUATC,3,2024-10-26,15,23.0,23.0
Inside Out,3,2025-02-13,7,32.0,32.0
Look Out Cleveland,2,2024-09-22,47,26.0,26.0
Jam,2,2025-03-11,2,20.0,20.0
Peggy-O,2,2024-11-12,25,49.0,49.0
Caution,2,2024-10-24,35,6.0,6.0
Psycho Killer,2,2024-11-10,26,6.0,6.0
It Burns Within,2,2024-06-26,61,14.0,14.0
Running Up That Hill,2,2024-11-09,28,4.0,4.0
The Labyrinth,2,2024-12-31,20,46.0,46.0
Doobie Song,2,2024-09-04,39,27.0,27.0
In Your Eyes,2,2024-09-14,53,7.0,7.0
You Spin Me Round (Like A Record),2,2024-11-12,25,7.0,7.0
Sirius,2,2024-12-14,22,1.0,1.0
The Killing Moon,2,2024-09-14,53,12.0,12.0
Your Direction,2,2025-05-08,3,15.0,15.0
Danger Zone,2,2024-11-07,29,41.0,41.0
Cantaloupe Island,2,2024-10-01,19,53.0,53.0
Please Forgive Me,2,2024-09-11,38,38.0,38.0
Weird Fishes / Arpeggi,2,2024-09-26,45,22.0,22.0
Love Is A Battlefield,2,2025-02-14,6,57.0,57.0
Whip It,2,2024-11-13,24,7.0,7.0
Tomorrow Never Knows,2,2024-09-22,47,28.0,28.0
True Love Waits,2,2025-02-07,10,40.0,40.0
Milestone 2 (Skux Life),2,2024-09-20,49,9.0,9.0
Wild Night,2,2025-02-11,8,22.0,22.0
Maniac,2,2024-11-07,29,3.0,3.0
Brokedown Palace,1,2024-10-25,14,,
Atlantic City,1,2024-11-10,26,,
Switchin',1,2024-09-03,40,,
Take On Me,1,2024-10-26,15,,
War Pigs,1,2024-10-01,19,,
Trick To Happy,1,2025-02-10,4,,
Wipeout,1,2024-10-31,32,,
The King,1,2024-12-13,23,,
The Night They Drove Old Dixie Down,1,2024-06-22,64,,
A Fifth Of Beethoven,1,2024-06-11,71,,
Cold Rain And Snow,1,2024-10-25,14,,
Torero,1,2025-05-08,18,,
The W.S. Walcott Medicine Show,1,2024-09-24,46,,
Achy Breaky Heart,1,2024-11-10,26,,
Arise,1,2024-09-27,44,,
Stranger Things,1,2024-10-31,32,,
I'm Alright,1,2024-06-20,66,,
Spain,1,2024-06-25,62,,
Slipknot!,1,2024-12-14,22,,
I2I,1,2024-12-31,20,,
In Bloom,1,2025-05-08,18,,
I Only Have Eyes For You,1,2024-12-31,20,,
Honeybee,1,2024-06-10,72,,
Help on the Way,1,2024-12-14,22,,
Get Down Tonight,1,2024-12-14,22,,
Kashmir.,1,2024-12-13,23,,
Franklin's Tower,1,2024-12-14,22,,
Flood in Franklin Park,1,2025-02-06,11,,
Lily's Tiger,1,2024-09-15,52,,
Liza Jane,1,2024-06-25,62,,
Low Rider,1,2024-12-30,21,,
(satellite),1,2024-09-13,36,,
