song,times_played,ltp_date,current_gap,avg_gap,gap_ratio,gap_z_score,ck+_score
Gotta Jibboo,323,2024-10-27,41,8.0,5.125,0.29505021320852154,1.5121323426936728
Mike's Song,553,2025-04-22,46,6.503496503496503,7.073118279569893,0.15432834056615297,1.0915826067141443
Plasma,140,2025-04-20,65,14.751724137931035,4.406264609630669,0.15871128823983618,0.6993239325200823
Drifting,232,2003-02-26,67,10.58008658008658,6.33265139116203,0.10205344904890915,0.6462689160924578
Llama,331,2025-04-27,68,10.271084337349398,6.620527859237536,0.07269003605274038,0.4812464087761486
Alaska,150,2024-02-21,65,15.973154362416107,4.069327731092437,0.05044261205131636,0.2052675200491592
The Moma Dance,247,2025-04-25,41,10.850202429149798,3.778731343283582,0.037582198796980194,0.1420130325436636
Jam,189,2025-01-28,32,16.103448275862068,1.987152034261242,0.06573762951816053,0.13063066422452457
First Tube,442,2025-04-23,7,5.925339366515837,1.1813669339442534,0.1053236625807516,0.12442589233480161
Ocelot,155,2025-01-28,49,15.597402597402597,3.141548709408826,0.03593120271508387,0.11287962351707864
Mozambique,169,1999-09-26,43,15.375,2.796747967479675,0.03780850152846621,0.10574084980319005
Undermind,96,2024-08-31,66,25.11578947368421,2.627829002514669,0.03103196389278163,0.08154669472243958
Stealing Time From the Faulty Plan,105,2024-08-04,65,22.932692307692307,2.8343815513626835,0.026660016725125617,0.07556465956471664
Foam,371,2024-07-27,19,9.836021505376344,1.9316753211259907,0.03525044890419835,0.06809242220685267
Lawn Boy,232,2024-07-31,22,15.387931034482758,1.4296918767507003,0.03009388798724717,0.04302498719521276
46 Days,248,2025-04-25,14,10.088353413654618,1.3877388535031847,0.027697296559220826,0.03843661457223081
No Men In No Man's Land,116,2025-04-22,41,18.50862068965517,2.2151839776432234,0.016575903741768285,0.03671867638372146
Good Times Bad Times,231,2024-07-26,25,16.169565217391305,1.5461145469212152,0.016774421118218294,0.025935176507059742
Down with Disease,324,2025-04-22,11,9.148367952522255,1.202400259487512,0.021426069038647598,0.02576271097186722
About to Run,64,2025-04-26,65,31.333333333333332,2.0744680851063833,0.01111714266775153,0.023062157661824984
Crazy Sometimes,63,2023-10-11,59,32.476190476190474,1.8167155425219943,0.010528482641115456,0.019127258053287466
Show of Life,81,2023-08-31,38,29.525,1.2870448772226928,0.010584106979217413,0.01362222066757872
Windora Bug,43,2020-02-19,70,61.5,1.1382113821138211,0.009676395889776453,0.011013783939582954
Sand,444,2025-04-27,2,5.892134831460674,0.33943554538520215,0.029466540191015772,0.010001991140352417
A Wave of Hope,56,2025-04-20,49,35.29090909090909,1.3884595569294178,0.006535761121096817,0.009074639990394602
Rise/Come Together,67,2022-07-29,40,31.272727272727273,1.2790697674418605,0.007089261122252505,0.009067659574974135
Chalk Dust Torture,579,2025-04-25,2,5.801680672268907,0.3447276940903824,0.02036963690568467,0.007021977959955028
Cavern,493,2025-04-27,4,7.110220440881764,0.5625704622322435,0.011214892213444868,0.006309167096402468
Party Time,55,2024-08-18,49,44.0,1.1136363636363635,0.005624082334383788,0.006263182599654672
Susskind Hotel,61,2012-07-04,31,31.930555555555557,0.9708568943018703,0.006264993002403983,0.006082411649136881
It's Ice,255,2024-08-07,8,12.911877394636015,0.6195845697329377,0.009452758174587426,0.00585678310639126
Stash,479,2025-04-25,3,7.237603305785124,0.41450185555238367,0.012248403883881273,0.0050769861374238105
Bathtub Gin,378,2025-04-19,3,9.49476439790576,0.3159636062861869,0.01462029237850769,0.004619480304871743
Prince Caspian,203,2025-01-31,7,14.414634146341463,0.4856175972927242,0.00930606324369731,0.004519188072658423
You Enjoy Myself,652,2025-04-27,2,5.551622418879056,0.36025504782146656,0.01160582884271121,0.004181058424738683
Guelah Papyrus,216,2024-08-30,9,15.802752293577981,0.5695210449927431,0.007218649089865696,0.004111172573096226
Sleeping Monkey,108,2025-04-19,22,30.91588785046729,0.7116082224909311,0.005446992946485436,0.003876124968569141
Possum,602,2025-04-25,2,6.147299509001637,0.325346112886049,0.01063828878351775,0.0034611259034767546
AC/DC Bag,352,2025-04-26,4,10.675213675213675,0.3746997598078463,0.009192317928760628,0.0034443593199839665
Peaches en Regalia,92,2024-08-16,27,40.86813186813187,0.6606614681365959,0.0049266883998902765,0.0032548731913230465
Bouncing Around the Room,522,2025-04-20,2,6.869481765834933,0.29114277731209837,0.010789997173788302,0.0031414297443664186
Marissa,34,2017-07-19,59,61.96969696969697,0.952078239608802,0.003297266010066221,0.003139255218385786
Tube,209,2025-04-18,8,16.578199052132703,0.48256146369353914,0.006051755928555995,0.002920344198800034
Rift,321,2025-04-25,6,11.115625,0.539780714084903,0.005377819307731516,0.0029028431461468967
Waste,190,2025-04-22,5,15.216931216931217,0.32858136300417246,0.008524261408246579,0.0028009134321255276
Joy,78,2025-04-27,18,31.532467532467532,0.570840197693575,0.0048215013040569035,0.0027523067575876722
Maze,355,2025-04-22,4,9.29050279329609,0.43054720384846656,0.0060049307003921595,0.002585406122357658
Kill Devil Falls,132,2025-04-27,9,18.633587786259543,0.4829987709954936,0.005145545835332792,0.002485292314566719
Heavy Things,206,2024-10-27,4,12.78048780487805,0.3129770992366412,0.007854794498254433,0.002458370797163601
Horn,178,2024-07-31,11,19.83050847457627,0.5547008547008547,0.004056642532428254,0.0022502230799537923
