song,times_played,ltp_date,current_gap,avg_gap,gap_ratio,gap_z_score,ck+_score
Gotta Jibboo,323,2024-10-27,42,8.0,5.25,0.302246559872144,1.5867944393287559
Mike's Song,553,2025-04-22,47,6.503496503496503,7.226881720430108,0.15768330449150414,1.139558590846666
Plasma,140,2025-04-20,66,14.751724137931035,4.474053295932679,0.1611530003666029,0.7210071124396399
Drifting,232,2003-02-26,68,10.58008658008658,6.427168576104747,0.10357663485560928,0.6657044927626476
Llama,331,2025-04-27,69,10.271084337349398,6.717888563049853,0.07375900717116303,0.4955047906970682
Alaska,150,2024-02-21,66,15.973154362416107,4.131932773109244,0.051218652236721236,0.21163202777139356
First Tube,442,2025-04-23,8,5.925339366515837,1.3501336387934326,0.12036990009228755,0.16251545121280214
The Moma Dance,247,2025-04-25,42,10.850202429149798,3.8708955223880595,0.038498837792028485,0.14902497882630727
Jam,189,2025-01-28,33,16.103448275862068,2.049250535331906,0.06779193044060305,0.13892264974658916
Ocelot,155,2025-01-28,50,15.597402597402597,3.205661948376353,0.036664492566412105,0.11753396867667494
Mozambique,169,1999-09-26,44,15.375,2.861788617886179,0.0386877690058724,0.11071621699241531
Undermind,96,2024-08-31,67,25.11578947368421,2.667644593461861,0.03150214516388438,0.08403652722888688
Stealing Time From the Faulty Plan,105,2024-08-04,66,22.932692307692307,2.877987421383648,0.02707017082858909,0.07790761113938596
Foam,371,2024-07-27,20,9.836021505376344,2.0333424432905165,0.03710573568862985,0.07544866726521073
Lawn Boy,232,2024-07-31,23,15.387931034482758,1.4946778711484594,0.031461791986667494,0.04702524426914783
46 Days,248,2025-04-25,15,10.088353413654618,1.486863057324841,0.02967567488487946,0.04412366468750987
No Men In No Man's Land,116,2025-04-22,42,18.50862068965517,2.2692128551467166,0.016980194076933366,0.03853167468226333
Down with Disease,324,2025-04-22,12,9.148367952522255,1.311709373986377,0.023373893496706474,0.030659755206189097
Good Times Bad Times,231,2024-07-26,26,16.169565217391305,1.607959128798064,0.01744539796294703,0.028051486910035825
About to Run,64,2025-04-26,66,31.333333333333332,2.1063829787234045,0.011288175631870784,0.02377722101181293
Sand,444,2025-04-27,3,5.892134831460674,0.5091533180778032,0.04419981028652365,0.022504480065792934
Crazy Sometimes,63,2023-10-11,60,32.476190476190474,1.8475073313782993,0.010706931499439448,0.019781134441779626
Chalk Dust Torture,579,2025-04-25,3,5.801680672268907,0.5170915411355737,0.030554455358527008,0.015799450409898816
Show of Life,81,2023-08-31,39,29.525,1.3209144792548688,0.010862636110249449,0.014348613320905285
Windora Bug,43,2020-02-19,71,61.5,1.1544715447154472,0.00981463011677326,0.011330711191721977
Cavern,493,2025-04-27,5,7.110220440881764,0.7032130777903044,0.014018615266806086,0.009858073588128857
Rise/Come Together,67,2022-07-29,41,31.272727272727273,1.3110465116279069,0.0072664926503088175,0.0095267098409572
A Wave of Hope,56,2025-04-20,50,35.29090909090909,1.4167954662545081,0.006669144001119201,0.009448812984584134
You Enjoy Myself,652,2025-04-27,3,5.551622418879056,0.5403825717321998,0.017408743264066814,0.009407381455662035
Stash,479,2025-04-25,4,7.237603305785124,0.5526691407365115,0.016331205178508362,0.009025753133197884
Bathtub Gin,378,2025-04-19,4,9.49476439790576,0.42128480838158255,0.01949372317134359,0.0082124094308831
Possum,602,2025-04-25,3,6.147299509001637,0.48801916932907347,0.015957433175276623,0.007787533282822697
It's Ice,255,2024-08-07,9,12.911877394636015,0.6970326409495549,0.010634352946410852,0.0074124911190264365
Bouncing Around the Room,522,2025-04-20,3,6.869481765834933,0.43671416596814755,0.016184995760682455,0.007068216924824442
Party Time,55,2024-08-18,50,44.0,1.1363636363636365,0.005738859524881418,0.006521431278274339
Susskind Hotel,61,2012-07-04,32,31.930555555555557,1.0021748586341888,0.006467089550868628,0.006481154556416406
Prince Caspian,203,2025-01-31,8,14.414634146341463,0.5549915397631134,0.010635500849939784,0.005902612992859982
AC/DC Bag,352,2025-04-26,5,10.675213675213675,0.4683746997598079,0.011490397410950783,0.005381811437474947
Guelah Papyrus,216,2024-08-30,10,15.802752293577981,0.632801161103048,0.008020721210961885,0.0050755216951805255
Back on the Train,282,2025-04-18,3,9.36749116607774,0.32025650697849867,0.013427534115784727,0.0043002551732558405
Sleeping Monkey,108,2025-04-19,23,30.91588785046729,0.7439540507859734,0.0056945835349620465,0.004236508488374122
Maze,355,2025-04-22,5,9.29050279329609,0.5381840048105833,0.0075061633754902,0.0040396970661838415
Waste,190,2025-04-22,6,15.216931216931217,0.39429763560500697,0.010229113689895895,0.00403331534226076
Divided Sky,472,2025-04-26,3,7.927813163481953,0.3784145688269952,0.010530501843238723,0.0039848953145410594
Rift,321,2025-04-25,7,11.115625,0.6297441664323868,0.006274122525686769,0.003951092060033276
Sample in a Jar,374,2025-04-23,3,8.584450402144773,0.34946908182386005,0.011200175757587106,0.003914115138269822
Heavy Things,206,2024-10-27,5,12.78048780487805,0.3912213740458015,0.009818493122818042,0.0038412043705681265
Tube,209,2025-04-18,9,16.578199052132703,0.5428816466552315,0.006808225419625494,0.003696060626606293
Peaches en Regalia,92,2024-08-16,28,40.86813186813187,0.6851304114009142,0.005109158340626954,0.003500439755826157
Wilson,358,2025-04-20,3,10.373961218836564,0.28918558077436585,0.011974546369169423,0.0034628661462778334
