link,date,venue,city,state,country,show_number
https://allthings.umphreys.com/setlists/umphreys-mcgee-january-21-1998-bridget-mcguires-filling-station-south-bend-in-usa.html,01/21/1998,Bridget McGuire's Filling Station,South Bend,IN,USA,1
https://allthings.umphreys.com/setlists/umphreys-mcgee-january-29-1998-club-23-south-bend-in-usa.html,01/29/1998,Club 23,South Bend,IN,USA,2
https://allthings.umphreys.com/setlists/umphreys-mcgee-january-31-1998-marion-street-south-bend-in-usa.html,01/31/1998,Marion Street,South Bend,IN,USA,3
https://allthings.umphreys.com/setlists/umphreys-mcgee-february-7-1998-benchwarmers-south-bend-in-usa.html,02/07/1998,Benchwarmers,South Bend,IN,USA,4
https://allthings.umphreys.com/setlists/umphreys-mcgee-february-11-1998-xtreamz-south-bend-in-usa.html,02/11/1998,Xtreamz,South Bend,IN,USA,5
https://allthings.umphreys.com/setlists/umphreys-mcgee-february-19-1998-irish-connection-south-bend-in-usa.html,02/19/1998,Irish Connection,South Bend,IN,USA,6
https://allthings.umphreys.com/setlists/umphreys-mcgee-february-20-1998-finnigan39s-south-bend-in-usa.html,02/20/1998,Finnigan's,South Bend,IN,USA,7
https://allthings.umphreys.com/setlists/umphreys-mcgee-february-27-1998-xtreamz-south-bend-in-usa.html,02/27/1998,Xtreamz,South Bend,IN,USA,8
https://allthings.umphreys.com/setlists/umphreys-mcgee-february-28-1998-madison-oyster-bar-south-bend-in-usa.html,02/28/1998,Madison Oyster Bar,South Bend,IN,USA,9
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-5-1998-irish-connection-south-bend-in-usa.html,03/05/1998,Irish Connection,South Bend,IN,USA,10
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-19-1998-xtreamz-south-bend-in-usa.html,03/19/1998,Xtreamz,South Bend,IN,USA,11
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-20-1998-alumni-senior-club-notre-dame-in-usa.html,03/20/1998,Alumni Senior Club,Notre Dame,IN,USA,12
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-27-1998-713-notre-dame-avenue-south-bend-in-usa.html,03/27/1998,713 Notre Dame Avenue,South Bend,IN,USA,13
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-28-1998-the-state-theatre-south-bend-in-usa.html,03/28/1998,The State Theatre,South Bend,IN,USA,14
https://allthings.umphreys.com/setlists/umphreys-mcgee-april-1-1998-the-landing-south-bend-in-usa.html,04/01/1998,The Landing,South Bend,IN,USA,15
https://allthings.umphreys.com/setlists/umphreys-mcgee-april-4-1998-madison-oyster-bar-south-bend-in-usa.html,04/04/1998,Madison Oyster Bar,South Bend,IN,USA,16
https://allthings.umphreys.com/setlists/umphreys-mcgee-april-15-1998-the-landing-south-bend-in-usa.html,04/15/1998,The Landing,South Bend,IN,USA,17
