song,times_played,ltp_date,current_gap,avg_gap,gap_ratio,gap_z_score,ck+_score
Nemo,348,2025-02-26,34,6.008645533141211,5.658513189448441,0.849296390646898,4.805754828226428
Hangover,416,2025-01-25,39,6.566265060240964,5.939449541284404,0.7341119632533128,4.360220963396282
Utopian Fir,411,2025-03-12,25,5.9975609756097565,4.168361122407482,0.7837528370268348,3.266964855439226
Similar Skin,124,2025-03-05,30,6.845528455284553,4.382422802850356,0.7388581067144182,3.237988614936108
Padgett's Profile,184,2024-04-13,94,13.360655737704919,7.035582822085889,0.4040510887158692,2.842734899014471
Miami Virtue,140,2025-02-26,34,8.215827338129497,4.138353765323993,0.6736766074605972,2.787912125095256
The Floor,319,2025-04-19,14,5.0062893081761,2.7964824120603016,0.9836786077224998,2.7508399256159355
Blue Echo,268,2024-12-31,47,9.307116104868914,5.04989939637827,0.4743542717907915,2.3954413507857715
It Doesn't Matter,68,2025-03-14,23,7.567164179104478,3.039447731755424,0.7611432018888049,2.313454978521989
The Fussy Dutchman,343,2025-03-06,29,7.7105263157894735,3.7610921501706485,0.5885777239550962,2.2136950573328193
Der Bluten Kat,697,2025-04-25,12,3.9597701149425286,3.030478955007257,0.6794743872375972,2.0591328309899897
The Triple Wide,503,2025-04-25,12,4.822709163346613,2.4882280049566297,0.8157539476000105,2.0297818175722693
Tribute to the Spinal Shaft,259,2025-01-23,41,9.736434108527131,4.210987261146497,0.4747200818389089,1.9990402172340678
FF,309,2025-01-23,41,8.967532467532468,4.57204923968139,0.4218842083949893,1.928875374225896
2x2,548,2025-04-20,13,5.038391224862888,2.5801886792452833,0.678740793643211,1.7512793119001722
Kimble,288,2025-01-22,42,9.62020905923345,4.365809489315465,0.37499417906094507,1.6371531453823367
Phil's Farm,519,2025-04-05,16,5.38030888030888,2.9738069608898456,0.5407124155969416,1.607974345341748
Mantis,288,2025-04-18,15,5.090592334494773,2.9466119096509242,0.5359910101194599,1.5793574938838297
#5,168,2024-12-12,51,12.994011976047904,3.9248847926267283,0.3702003668270637,1.4529937899843786
Thin Air,276,2025-01-30,38,9.989090909090908,3.8041499817983255,0.36410966213756474,1.3851277645932114
I Don't Know What I Want,45,2025-04-20,13,6.0,2.1666666666666665,0.5961453515085021,1.2916482616017546
JaJunk,582,2025-05-22,8,3.981067125645439,2.009511456982274,0.5760223027903181,1.1575234169344568
Example 1,329,2025-03-12,25,8.09451219512195,3.088512241054614,0.3695349104872196,1.1413130945367989
August,440,2025-04-19,14,6.3439635535307515,2.206822262118492,0.5060650874910791,1.116795701156256
Hurt Bird Bath,555,2025-05-22,8,4.4296028880866425,1.8060309698451509,0.5960077521895064,1.0764084587220426
Rocker Part 2,171,2025-03-13,24,9.211764705882352,2.6053639846743297,0.40638025565643443,1.0587684821700207
Concessions,10,2025-04-19,14,8.0,1.75,0.5400617248673216,0.9451080185178129
Plunger,455,2025-05-22,8,4.502202643171806,1.776908023483366,0.49885535970342054,0.8864200912146886
Much Obliged,422,2025-03-22,18,6.577197149643705,2.7367280606717226,0.32034771598653516,0.8767045835124462
Hiccup,38,2025-04-27,10,5.54054054054054,1.8048780487804879,0.4827624275378502,0.8713273082390467
Speak Up,105,2025-04-19,14,6.769230769230769,2.0681818181818183,0.41271886054250495,0.8535776433947262
Remind Me,121,2025-04-26,11,6.3,1.746031746031746,0.48454405187619476,0.8460292969266893
Seasons,58,2025-03-21,19,8.280701754385966,2.2944915254237284,0.36795991926094607,0.84428091643984
Great American,177,2025-01-19,43,11.159090909090908,3.853360488798371,0.2139934252813414,0.8245938098417475
White Man's Moccasins,288,2025-03-14,23,8.742160278745645,2.6309286568353922,0.3103978643386126,0.8166346363089604
Sociable Jimmy,333,2025-03-20,20,7.993975903614458,2.501883948756594,0.3201670558449248,0.8010208179390733
2nd Self,413,2025-04-25,12,6.393203883495145,1.876993166287016,0.4203147720696501,0.7889279548642181
All Things Ninja,239,2025-01-22,42,11.159663865546218,3.7635542168674703,0.18711299909870588,0.7042099167886536
Syncopated Strangers,438,2025-04-25,12,5.807780320366133,2.066193853427896,0.3380511222636695,0.6984791509655961
Out Of Order,271,2025-03-13,24,9.614814814814816,2.496147919876733,0.25731587353935087,0.6422984824865152
Conduit,228,2025-04-29,9,5.863436123348017,1.5349361382419235,0.40863274962455376,0.6272251746678914
Nothing Too Fancy,732,2025-05-25,5,3.538987688098495,1.412833397758021,0.3957545902670528,0.5591353024453336
So Much,7,2024-04-12,95,23.833333333333332,3.9860139860139863,0.13938759221746333,0.5556008920556231
Looks,59,2025-03-22,18,8.793103448275861,2.047058823529412,0.2640612480125992,0.5405489076963796
Preamble,171,2025-04-04,17,8.58235294117647,1.9808087731322825,0.27262814328562807,0.5400242180229371
Alex's House,105,2024-12-12,51,15.778846153846153,3.2321755027422303,0.16031835980125822,0.5181770751894416
Smell the Mitten,163,2025-01-24,40,14.067901234567902,2.843352347520842,0.18044856795106706,0.5130788592904407
Maybe Someday,60,2025-04-04,17,8.64406779661017,1.9666666666666666,0.2540589616798604,0.4996492913037255
Roctopus,56,2025-03-05,30,11.690909090909091,2.566096423017107,0.1935720143750049,0.4967244536839161
Out of Focus,20,2025-03-21,19,10.210526315789474,1.860824742268041,0.2330934797923016,0.43374611445887046
