venue_id,venuename,city,state,country,location
1,Madison Theater,Covington,KY,USA,"Covington, KY, USA"
2,Peach Music Festival,Scranton,PA,USA,"Scranton, PA, USA"
3,Bowery Ballroom,New York,NY,USA,"New York, NY, USA"
4,Goose Community Rec Center,Redding,CT,USA,"Redding, CT, USA"
5,Yarmouth Drive-In,West Yarmouth,MA,USA,"West Yarmouth, MA, USA"
6,South Farms,Morris,CT,USA,"Morris, CT, USA"
7,Northlands Live,Swanzey,NH,USA,"Swanzey, NH, USA"
9,Viva Zapata,Westport,CT,USA,"Westport, CT, USA"
11,Barberry Hill Farm,Madison,CT,USA,"Madison, CT, USA"
12,T's House,Somewhere,CT,USA,"Somewhere, CT, USA"
13,Delmar Hall,St. Louis,MO,USA,"St. Louis, MO, USA"
14,Riviera Theatre,Chicago,IL,USA,"Chicago, IL, USA"
15,The Intersection,Grand Rapids,MI,USA,"Grand Rapids, MI, USA"
16,Agora Theater,Cleveland,OH,USA,"Cleveland, OH, USA"
17,Rock Legends Cruise,Port Canaveral,FL,USA,"Port Canaveral, FL, USA"
18,Wonder Ballroom,Portland,OR,USA,"Portland, OR, USA"
19,Midtown Ballroom,Bend,OR,USA,"Bend, OR, USA"
20,Neptune Theatre,Seattle,WA,USA,"Seattle, WA, USA"
21,Session Music Hall,Eugene,OR,USA,"Eugene, OR, USA"
22,Crystal Bay Club,Crystal Bay,NV,USA,"Crystal Bay, NV, USA"
23,Legend Valley,Thornville,OH,USA,"Thornville, OH, USA"
24,Jimmy's Seaside Tavern,Stamford,CT,USA,"Stamford, CT, USA"
25,O'Neill's Irish Pub &amp; Restaurant,Norwalk,CT,USA,"Norwalk, CT, USA"
26,Tavern On Seven,Norwalk,CT,USA,"Norwalk, CT, USA"
27,BRYAC Black Rock,Bridgeport,CT,USA,"Bridgeport, CT, USA"
28,The Acoustic,Bridgeport,CT,USA,"Bridgeport, CT, USA"
29,Bradford's Grill &amp; Tavern,Norwalk,CT,USA,"Norwalk, CT, USA"
30,Stella Blues,New Haven,CT,USA,"New Haven, CT, USA"
32,Garcia's at The Capitol Theatre,Port Chester,NY,USA,"Port Chester, NY, USA"
33,The Capitol Theatre,Port Chester,NY,USA,"Port Chester, NY, USA"
35,Station House Bar and Grille,Norwalk,CT,USA,"Norwalk, CT, USA"
36,Factory Underground Studio,Norwalk,CT,USA,"Norwalk, CT, USA"
37,Wonder Bar,Allston,MA,USA,"Allston, MA, USA"
38,Radio Bean,Burlington,VT,USA,"Burlington, VT, USA"
40,Loft,Norwalk,CT,USA,"Norwalk, CT, USA"
41,Rock n Roll Resort,Kerhonkson,NY,USA,"Kerhonkson, NY, USA"
42,Electric Haze,Worcester,MA,USA,"Worcester, MA, USA"
44,Soupstock Music and Arts Festival,Shelton,CT,USA,"Shelton, CT, USA"
45,Space Ballroom,Hamden,CT,USA,"Hamden, CT, USA"
46,The Spread South Norwalk,Norwalk,CT,USA,"Norwalk, CT, USA"
47,Brooklyn Bowl,Brooklyn,NY,USA,"Brooklyn, NY, USA"
48,Arch Street Tavern,Hartford,CT,USA,"Hartford, CT, USA"
49,Pacific Standard Tavern,New Haven,CT,USA,"New Haven, CT, USA"
50,The Warehouse at FTC,Fairfield,CT,USA,"Fairfield, CT, USA"
51,StageOne at FTC,Fairfield,CT,USA,"Fairfield, CT, USA"
52,Bayley Beach,Rowayton,CT,USA,"Rowayton, CT, USA"
53,Putnam Den,Saratoga Springs,NY,USA,"Saratoga Springs, NY, USA"
54,SoNo Arts Festival,Norwalk,CT,USA,"Norwalk, CT, USA"
55,Wall Street Theater,Norwalk,CT,USA,"Norwalk, CT, USA"
56,Octave,Covington,KY,USA,"Covington, KY, USA"
57,Old Town Pub &amp; Restaurant,Steamboat Springs,CO,USA,"Steamboat Springs, CO, USA"
58,Nectar's,Burlington,VT,USA,"Burlington, VT, USA"
59,Pizza in the Park,Stamford,CT,USA,"Stamford, CT, USA"
60,Levitt Pavilion,Westport,CT,USA,"Westport, CT, USA"
62,Coopers Lake,Slippery Rock,PA,USA,"Slippery Rock, PA, USA"
