song,times_played_in_last_year,ltp_date,current_gap,avg_gap,med_gap
Down with Disease,13,2024-12-30,6.0,3.38,4.0
Carini,9,2024-12-31,5.0,5.22,4.0
Slave to the Traffic Light,7,2024-12-31,5.0,5.14,5.0
Life Saving Gun,7,2024-12-31,5.0,6.57,7.0
Steam,6,2024-10-25,11.0,7.67,8.5
Split Open and Melt,6,2024-12-31,5.0,7.5,7.0
You Enjoy Myself,6,2024-12-29,7.0,6.5,7.0
Axilla (Part II),6,2024-12-28,8.0,7.5,5.5
What's the Use?,5,2024-12-31,5.0,9.4,9.0
Rift,5,2024-12-29,7.0,9.2,9.0
Fluffhead,5,2024-12-30,6.0,9.8,10.0
Simple,5,2024-12-28,8.0,9.0,8.0
Bouncing Around the Room,5,2024-12-31,5.0,9.6,8.0
Ocelot,4,2025-01-28,4.0,12.5,13.0
Golgi Apparatus,4,2024-12-31,5.0,12.75,11.0
The Howling,4,2024-10-25,11.0,10.5,10.5
Wading in the Velvet Sea,4,2024-10-27,9.0,14.5,17.0
Divided Sky,4,2024-12-30,6.0,11.0,11.0
AC/DC Bag,4,2024-12-29,7.0,10.75,11.0
David Bowie,4,2024-12-28,8.0,10.75,11.5
Scents and Subtle Sounds,3,2024-08-17,17.0,15.67,11.0
Limb By Limb,3,2024-10-27,9.0,22.0,12.0
NICU,3,2024-08-15,19.0,12.0,11.0
A Song I Heard the Ocean Sing,3,2024-07-28,31.0,7.67,7.0
Sample in a Jar,3,2024-12-29,7.0,10.67,10.0
Llama,3,2024-12-31,5.0,15.0,17.0
Driver,3,2024-12-28,8.0,58.67,23.0
The Squirming Coil,3,2024-12-31,5.0,16.0,17.0
Walls of the Cave,3,2024-10-27,9.0,16.0,15.0
Birds of a Feather,3,2024-08-07,24.0,11.67,12.0
Waste,3,2024-12-29,7.0,23.0,26.0
Julius,3,2024-08-09,23.0,12.67,13.0
It's Ice,2,2024-08-07,24.0,13.5,13.5
The Curtain With,2,2024-07-24,34.0,29.0,29.0
Party Time,2,2024-08-18,16.0,31.5,31.5
The Mango Song,2,2024-12-28,8.0,27.5,27.5
Mercury,2,2024-10-27,9.0,22.5,22.5
Meatstick,2,2024-08-17,17.0,26.5,26.5
Lifeboy,2,2024-07-27,32.0,12.5,12.5
Wilson,2,2024-08-10,22.0,14.0,14.0
Leaves,2,2024-07-24,34.0,10.0,10.0
555,2,2024-08-07,24.0,17.0,17.0
If I Could,2,2024-07-31,29.0,27.5,27.5
Grind,2,2024-12-31,5.0,36.5,36.5
Axilla,2,2024-08-18,16.0,22.5,22.5
Destiny Unbound,2,2024-08-04,26.0,17.5,17.5
I Always Wanted It This Way,2,2024-12-28,8.0,26.0,26.0
Human Nature,2,2024-08-11,21.0,16.0,16.0
Buried Alive,2,2024-08-11,21.0,19.0,19.0
Heavy Things,2,2024-10-27,9.0,44.0,44.0
The Horse,1,2024-07-26,33.0,89.0,89.0
Contact,1,2024-07-26,33.0,98.0,98.0
The Lizards,1,2024-07-27,32.0,18.0,18.0
Death Don't Hurt Very Long,1,2024-08-07,24.0,86.0,86.0
The Dogs,1,2024-08-04,26.0,47.0,47.0
The Final Hurrah,1,2024-08-04,26.0,53.0,53.0
Chalk Dust Torture Reprise,1,2024-02-24,45.0,176.0,176.0
The Connection,1,2024-07-21,36.0,187.0,187.0
Suzy Greenberg,1,2024-07-19,38.0,21.0,21.0
Sugar Shack,1,2024-08-29,15.0,58.0,58.0
The Oh Kee Pa Ceremony,1,2024-08-02,28.0,89.0,89.0
Turtle in the Clouds,1,2024-07-31,29.0,22.0,22.0
Thread,1,2024-07-21,36.0,131.0,131.0
Train Song,1,2024-08-06,25.0,26.0,26.0
Dinner and a Movie,1,2024-08-10,22.0,75.0,75.0
Vultures,1,2024-07-30,30.0,24.0,24.0
Brian and Robert,1,2024-07-26,33.0,41.0,41.0
Billy Breathes,1,2024-08-04,26.0,137.0,137.0
Waves,1,2024-08-10,22.0,34.0,34.0
Weigh,1,2024-08-10,22.0,33.0,33.0
Big Black Furry Creature from Mars,1,2024-08-09,23.0,60.0,60.0
Wingsuit,1,2024-08-04,26.0,47.0,47.0
Woodlands Jam,1,2024-08-16,18.0,,
Access Me,1,2024-10-27,9.0,222.0,222.0
Strange Design,1,2024-08-30,14.0,104.0,104.0
Sleeping Monkey,1,2024-10-25,11.0,102.0,102.0
Stealing Time From the Faulty Plan,1,2024-08-04,26.0,51.0,51.0
Fuck Your Face,1,2024-12-28,8.0,78.0,78.0
Icculus,1,2024-12-31,5.0,81.0,81.0
Knuckle Bone Broth Avenue,1,2024-08-04,26.0,106.0,106.0
Lawn Boy,1,2024-07-31,29.0,51.0,51.0
I Didn't Know,1,2024-08-03,27.0,50.0,50.0
Lengthwise,1,2024-12-30,6.0,231.0,231.0
Horn,1,2024-07-31,29.0,44.0,44.0
McGrupp and the Watchful Hosemasters,1,2024-08-04,26.0,24.0,24.0
Meat,1,2024-07-30,30.0,26.0,26.0
Guyute,1,2024-07-23,35.0,35.0,35.0
Guy Forget,1,2024-08-03,27.0,41.0,41.0
Miss You,1,2024-07-31,29.0,48.0,48.0
Guelah Papyrus,1,2024-08-30,14.0,109.0,109.0
Poor Heart,1,2024-12-28,8.0,73.0,73.0
Dog Log,1,2024-09-01,12.0,133.0,133.0
Punch You in the Eye,1,2024-08-02,28.0,22.0,22.0
Foam,1,2024-07-27,32.0,24.0,24.0
Round Room,1,2024-12-28,8.0,365.0,365.0
Fikus,1,2024-08-11,21.0,872.0,872.0
Sanity,1,2024-02-24,45.0,26.0,26.0
Scent of a Mule,1,2024-08-02,28.0,78.0,78.0
Fee,1,2024-08-30,14.0,82.0,82.0
Seven Below,1,2024-12-30,6.0,85.0,85.0
Silent in the Morning,1,2024-07-26,33.0,89.0,89.0
Fast Enough for You,1,2024-02-23,46.0,76.0,76.0
Esther,1,2024-07-27,32.0,32.0,32.0
Joy,1,2024-07-21,36.0,22.0,22.0
Your Pet Cat,1,2024-08-16,18.0,83.0,83.0
