id,Venue Name,City,State,Country,Times Played,Last Played
0,1 Up - Colfax,Denver,CO,USA,1,2013-12-30
1,12th & Porter,Nashville,TN,USA,3,2003-10-02
2,20 Monroe Live,Grand Rapids,MI,USA,1,2017-02-02
3,203 East Marion Street,South Bend,IN,USA,1,1998-10-02
4,20th Century Theatre,Cincinnati,OH,USA,2,2002-11-15
5,21st Century Waterfront,Chattanooga,TN,USA,1,2016-06-16
6,24th Street Park,Virginia Beach,VA,USA,1,2024-09-01
7,4th & B,San Diego,CA,USA,2,2004-10-23
8,"4th Street Tavern, The",San Rafael,CA,USA,1,2001-07-02
9,713 Notre Dame Avenue,South Bend,IN,USA,2,1999-05-12
10,8150 Club,Vail,CO,USA,1,2003-03-30
11,"8x10, The",Baltimore,MD,USA,1,2002-02-17
12,9:30 Club,Washington,DC,USA,18,2024-02-15
13,92.3 WTTS Indianapolis,Indianapolis,IN,USA,1,2006-06-10
14,Abbey Road,Gainesville,FL,USA,1,2005-10-19
15,ACE Adventure Resort,Minden,WV,USA,3,2018-06-02
16,Ace of Spades,Sacramento,CA,USA,3,2025-03-20
17,ACL Live at Moody Theater,Austin,TX,USA,1,2018-08-31
18,"Aggie Theatre, The",Fort Collins,CO,USA,6,2009-01-22
19,"Aladdin Theater, The",Portland,OR,USA,2,2004-10-30
20,Alexian Field,Schaumburg,IL,USA,2,2005-07-09
21,Alivearoo - Simon Estes Riverfront Amphitheater,Des Moines,IA,USA,1,2004-08-20
22,Alpine Valley Music Theatre,East Troy,WI,USA,4,2009-07-19
23,Alumni Senior Club,Notre Dame,IN,USA,1,1998-03-20
24,Alvard Theater,Ashland,WI,USA,1,1998-09-19
25,American Legion Hall,South Bend,IN,USA,1,1999-06-12
26,Amos' Southend,Charlotte,NC,USA,3,2008-04-01
27,Amphitheatre at Richmond Raceway,Richmond,VA,USA,1,2005-07-15
28,Angelic Brewery,Madison,WI,USA,1,2000-06-24
29,"Annex, The",Madison,WI,USA,1,2001-03-16
30,"Anthem, The",Washington,DC,USA,3,2022-02-18
31,Anthology,Rochester,NY,USA,1,2017-01-29
32,"Apple Store, SoHo",New York,NY,USA,1,2011-09-09
33,Apple Valley Park,Lafayette,NY,USA,2,2021-06-26
34,Aragon Ballroom,Chicago,IL,USA,15,2018-10-06
35,Arcata Community Center,Arcata,CA,USA,1,2004-10-27
36,Arcata Theatre,Arcata,CA,USA,1,2010-10-06
37,Art Park,Lewiston,NY,USA,1,2011-06-29
38,Ascend Amphitheater,Nashville,TN,USA,2,2017-08-19
39,Asheville Civic Center,Asheville,NC,USA,1,2010-12-11
40,Ashland Armory,Ashland,OR,USA,1,2014-03-12
41,Atlanta Motor Speedway,Hampton,GA,USA,4,2021-05-01
42,Atlanta's Back Porch,Fairburn,GA,USA,2,2002-09-28
43,"Auditorium Theatre, The",Chicago,IL,USA,3,2008-12-31
44,Augusta Common,Augusta,GA,USA,2,2017-06-01
45,Augusta Convention Center,Augusta,GA,USA,1,2014-04-07
46,"Augusta Levee Festival, The",Augusta,GA,USA,1,2002-03-03
47,"Avalon, The",Hollywood,CA,USA,2,2006-10-21
48,"Avalon Ballroom, The",Boston,MA,USA,3,2007-04-12
49,"Avimore Arms Pub, The",Bend,OR,USA,1,2001-06-26
50,Avondale Brewing Company,Birmingham,AL,USA,6,2023-04-30
51,Axis,Bloomington,IN,USA,6,2002-11-20
52,B.B. King Blues Club & Grill,New York,NY,USA,2,2005-04-26
53,Babcock Theatre,Billings,MT,USA,1,2011-03-08
54,"Bacchanalia Festival, Drake University",Des Moines,IA,USA,1,2003-04-18
55,Backyard Bash,Chicago,IL,USA,2,2003-06-22
56,"Ballard Firehouse, The",Seattle,WA,USA,1,2003-06-27
57,"Bama Theatre, The",Tuscaloosa,AL,USA,2,2011-10-27
58,BamaJam,Enterprise,AL,USA,1,2009-06-06
59,"Band Room, Durty Nellie's, The",Palatine,IL,USA,1,2004-02-25
60,Bank of America Pavilion,Boston,MA,USA,4,2013-08-31
61,Barrelhouse Brewery,Cincinnati,OH,USA,2,1999-06-18
62,"Barrymore Theatre, The",Madison,WI,USA,22,2011-03-03
63,Bash on Ash,Tempe,AZ,USA,1,2003-07-14
64,Battery Park,Burlington,VT,USA,1,1999-07-06
65,Beachland Ballroom,Cleveland,OH,USA,3,2002-08-27
66,Beacon Theatre,New York,NY,USA,12,2020-01-18
67,"Beale Street Music Festival, The",Memphis,TN,USA,2,2008-05-04
68,Bearcat Getaway,Lesterville,MO,USA,2,2002-09-01
69,Beech Mountain Resort,Beech Mountain,NC,USA,2,2021-08-07
70,Bell's Brewery,Kalamazoo,MI,USA,9,2005-06-04
71,"Bellwether, The",Los Angeles,CA,USA,1,2024-03-23
72,Belly Up Aspen,Aspen,CO,USA,33,2024-03-10
73,Belly Up Tavern,Solana Beach,CA,USA,4,2005-12-08
74,Belmont-Sheffield Festival,Chicago,IL,USA,3,2004-06-06
75,Benchwarmers,South Bend,IN,USA,12,2000-07-29
76,Bendix Theatre - Century Center,South Bend,IN,USA,1,2004-05-20
77,"Berkley Front, The",Berkley,MI,USA,1,1998-10-09
78,Best Buy Theater,New York,NY,USA,3,2012-01-21
79,"Big E Arena, The",West Springfield,MA,USA,1,2024-09-15
80,Bijou Theatre,Knoxville,TN,USA,3,2008-11-19
81,Bill Graham Civic Auditorium,San Francisco,CA,USA,1,2005-02-12
82,Bill Monroe Memorial Music Park & Campground,Bean Blossom,IN,USA,2,2006-08-25
83,Birmingham-Southern College,Birmingham,AL,USA,1,2005-04-09
84,Blackhawk Farms Music Festival,South Beloit,IL,USA,1,2001-07-21
85,Blender Theater at Gramercy,New York,NY,USA,3,2008-10-16
86,"Blind Pig, The",Ann Arbor,MI,USA,5,2004-03-11
87,Blossom Music Center,Cuyahoga Falls,OH,USA,1,2005-07-17
88,Blue Cat's,Knoxville,TN,USA,7,2005-10-12
89,Blue Heron Club,Missoula,MT,USA,1,2002-04-22
90,Blue Hills Bank Pavilion,Boston,MA,USA,2,2016-08-12
91,Blue Nile,New Orleans,LA,USA,1,2002-05-03
92,"Blue Note, The",Columbia,MO,USA,5,2007-04-04
93,Blue Ridge HarvestFest,LaFayette,GA,USA,1,2004-09-17
94,"Bluebird Nightclub, The",Bloomington,IN,USA,31,2024-02-07
95,Bluegrass Brewing Company,Louisville,KY,USA,1,2002-03-20
96,Bogart's,Cincinnati,OH,USA,5,2006-11-15
97,Bonnaroo Music & Arts Festival,Manchester,TN,USA,15,2023-06-18
98,Boondock Studios,Niles,MI,USA,2,2020-06-11
99,"Boot Pub, The",Whistler,BC,Canada,1,2001-06-23
100,Borders,Ann Arbor,MI,USA,1,2007-12-01
101,"Bottom Lounge, The",Chicago,IL,USA,1,2003-03-17
