song_name,set,song_index_set,song_index_show,into,song_notes_key,notes_id,link,song_note_detail
FIRE ON THE MOUNTAIN,0:,1,1,0,,0.0,http://www.everydaycompanion.com/setlists/19850000a.asp,
"MAN SMART, WOMAN SMARTER",0:,2,2,0,,0.0,http://www.everydaycompanion.com/setlists/19850000a.asp,
FOR WHAT IT'S WORTH,0:,3,3,0,,0.0,http://www.everydaycompanion.com/setlists/19850000a.asp,
EASY WIND,0:,4,4,0,,0.0,http://www.everydaycompanion.com/setlists/19850000a.asp,
HEATHEN,0:,5,5,0,,0.0,http://www.everydaycompanion.com/setlists/19850000a.asp,
DEAR MR. FANTASY,0:,6,6,0,,0.0,http://www.everydaycompanion.com/setlists/19850000a.asp,
SLEEPY MONKEY,0:,7,7,0,,0.0,http://www.everydaycompanion.com/setlists/19850000a.asp,
WORRY,0:,8,8,0,,0.0,http://www.everydaycompanion.com/setlists/19850000a.asp,
DIRTY BUSINESS,0:,9,9,0,,0.0,http://www.everydaycompanion.com/setlists/19850000a.asp,
NIGHTS IN WHITE SATIN,0:,10,10,0,,0.0,http://www.everydaycompanion.com/setlists/19850000a.asp,
FIRE ON THE MOUNTAIN,1:,1,1,0,,,http://www.everydaycompanion.com/setlists/19850224a.asp,
FEELIN' ALRIGHT,1:,2,2,0,,,http://www.everydaycompanion.com/setlists/19850224a.asp,
SUGAREE,1:,3,3,1,,,http://www.everydaycompanion.com/setlists/19850224a.asp,
DIRTY BUSINESS,1:,4,4,1,,,http://www.everydaycompanion.com/setlists/19850224a.asp,
NO SUGAR TONIGHT/NEW MOTHER NATURE,1:,5,5,0,,,http://www.everydaycompanion.com/setlists/19850224a.asp,
HEATHEN,1:,6,6,0,,,http://www.everydaycompanion.com/setlists/19850224a.asp,
NOT FADE AWAY,1:,7,7,0,,,http://www.everydaycompanion.com/setlists/19850224a.asp,
THE OTHER ONE,1:,8,8,1,,,http://www.everydaycompanion.com/setlists/19850224a.asp,
NOT FADE AWAY,1:,9,9,1,,,http://www.everydaycompanion.com/setlists/19850224a.asp,
BROWN EYED GIRL,1:,10,10,0,,,http://www.everydaycompanion.com/setlists/19850224a.asp,
LET'S GET THE SHOW ON THE ROAD,2:,1,11,0,,,http://www.everydaycompanion.com/setlists/19850224a.asp,
SLEEPY MONKEY,2:,2,12,0,,,http://www.everydaycompanion.com/setlists/19850224a.asp,
BURNOUT MAN,2:,3,13,0,,,http://www.everydaycompanion.com/setlists/19850224a.asp, with Jeff Riley on vocals/guitar 
FIRE ON THE MOUNTAIN,2:,4,14,0,,,http://www.everydaycompanion.com/setlists/19850224a.asp,
