date,year,month,day,weekday,date_ec,venue,city,state,show_index_overall,show_index_withinyear,run_index,venue_full,link
02/24/85,1985,02,24,Sunday,1985-02-24,"A-FRAME, WEYMANDA COURT",ATHENS,GA,2,2,1,"A-FRAME, WEYMANDA COURT, ATHENS, GA",http://www.everydaycompanion.com/setlists/19850224a.asp
06/22/85,1985,06,22,Saturday,1985-06-22,UPTOWN LOUNGE,ATHENS,GA,3,3,2,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19850622a.asp
10/19/85,1985,10,19,Saturday,1985-10-19,US AWARE FESTIVAL,ATHENS,GA,4,4,3,"US AWARE FESTIVAL, ATHENS, GA",http://www.everydaycompanion.com/setlists/19851019a.asp
10/24/85,1985,10,24,Thursday,1985-10-24,"PHI DELTA THETA HOUSE, UNIVERSITY OF GEORGIA",ATHENS,GA,5,5,4,"PHI DELTA THETA HOUSE, UNIVERSITY OF GEORGIA, ATHENS, GA",http://www.everydaycompanion.com/setlists/19851024a.asp
02/06/86,1986,02,06,Thursday,1986-02-06,THE MAD HATTER BALLROOM,ATHENS,GA,8,3,7,"THE MAD HATTER BALLROOM, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860206a.asp
02/13/86,1986,02,13,Thursday,1986-02-13,UPTOWN LOUNGE,ATHENS,GA,9,4,8,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860213a.asp
02/17/86,1986,02,17,Monday,1986-02-17,UPTOWN LOUNGE,ATHENS,GA,10,5,8,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860217a.asp
02/27/86,1986,02,27,Thursday,1986-02-27,RUGBY'S,ATHENS,GA,11,6,9,"RUGBY'S, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860227a.asp
03/03/86,1986,03,03,Monday,1986-03-03,UPTOWN LOUNGE,ATHENS,GA,13,8,10,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860303a.asp
03/17/86,1986,03,17,Monday,1986-03-17,UPTOWN LOUNGE,ATHENS,GA,14,9,10,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860317a.asp
04/05/86,1986,04,05,Saturday,1986-04-05,UPTOWN LOUNGE,ATHENS,GA,16,11,12,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860405a.asp
04/07/86,1986,04,07,Monday,1986-04-07,UPTOWN LOUNGE,ATHENS,GA,17,12,12,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860407a.asp
04/14/86,1986,04,14,Monday,1986-04-14,UPTOWN LOUNGE,ATHENS,GA,18,13,12,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860414a.asp
04/17/86,1986,04,17,Thursday,1986-04-17,UPTOWN LOUNGE,ATHENS,GA,19,14,12,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860417a.asp
04/24/86,1986,04,24,Thursday,1986-04-24,QUARTERS,CLEMSON,SC,20,15,13,"QUARTERS, CLEMSON, SC",http://www.everydaycompanion.com/setlists/19860424a.asp
04/25/86,1986,04,25,Friday,1986-04-25,QUARTERS,CLEMSON,SC,21,16,13,"QUARTERS, CLEMSON, SC",http://www.everydaycompanion.com/setlists/19860425a.asp
04/26/86,1986,04,26,Saturday,1986-04-26,QUARTERS,CLEMSON,SC,22,17,13,"QUARTERS, CLEMSON, SC",http://www.everydaycompanion.com/setlists/19860426a.asp
04/28/86,1986,04,28,Monday,1986-04-28,UPTOWN LOUNGE,ATHENS,GA,23,18,14,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860428a.asp
05/05/86,1986,05,05,Monday,1986-05-05,UPTOWN LOUNGE,ATHENS,GA,24,19,14,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860505a.asp
05/06/86,1986,05,06,Tuesday,1986-05-06,SOUTH BEACH MARINA,HILTON HEAD,SC,25,20,15,"SOUTH BEACH MARINA, HILTON HEAD, SC",http://www.everydaycompanion.com/setlists/19860506a.asp
05/12/86,1986,05,12,Monday,1986-05-12,UPTOWN LOUNGE,ATHENS,GA,26,21,16,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860512a.asp
05/19/86,1986,05,19,Monday,1986-05-19,UPTOWN LOUNGE,ATHENS,GA,27,22,16,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860519a.asp
05/20/86,1986,05,20,Tuesday,1986-05-20,TATE STUDENT CENTER PLAZA,ATHENS,GA,28,23,17,"TATE STUDENT CENTER PLAZA, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860520a.asp
05/26/86,1986,05,26,Monday,1986-05-26,UPTOWN LOUNGE,ATHENS,GA,29,24,18,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860526a.asp
06/03/86,1986,06,03,Tuesday,1986-06-03,UPTOWN LOUNGE,ATHENS,GA,30,25,18,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860603a.asp
06/16/86,1986,06,16,Monday,1986-06-16,UPTOWN LOUNGE,ATHENS,GA,31,26,18,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860616a.asp
06/23/86,1986,06,23,Monday,1986-06-23,UPTOWN LOUNGE,ATHENS,GA,32,27,18,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860623a.asp
06/26/86,1986,06,26,Thursday,1986-06-26,HARRY'S,ATHENS,GA,33,28,19,"HARRY'S, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860626a.asp
06/30/86,1986,06,30,Monday,1986-06-30,UPTOWN LOUNGE,ATHENS,GA,34,29,20,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860630a.asp
07/08/86,1986,07,08,Tuesday,1986-07-08,UPTOWN LOUNGE,ATHENS,GA,36,31,22,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860708a.asp
07/14/86,1986,07,14,Monday,1986-07-14,UPTOWN LOUNGE,ATHENS,GA,37,32,22,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860714a.asp
