song_name,times_played_total,ltp_date,current_gap,avg_gap,med_gap,current_minus_avg,current_minus_med
WEIGHT OF THE WORLD,588,2022-10-23,64,4.43,3.0,59.57,61.0
SELL SELL,76,2022-09-18,69,6.4,5.0,62.6,64.0
STEVEN'S CAT,52,2022-09-16,71,6.08,4.0,64.92,67.0
IT AIN'T NO USE,365,2022-08-11,77,7.52,5.0,69.48,72.0
YOU SHOULD BE GLAD,172,2023-02-09,54,6.26,5.0,47.74,49.0
IMITATION LEATHER SHOES,299,2023-12-29,19,4.87,5.0,14.129999999999999,14.0
PAPA LEGBA,373,2023-04-18,43,8.11,6.0,34.89,37.0
DYIN' MAN,262,2023-07-29,31,6.73,5.0,24.27,26.0
PICKIN' UP THE PIECES,497,2023-10-21,23,5.21,4.0,17.79,19.0
SUNDOWN BETTY,24,2023-08-27,27,8.17,7.0,18.83,20.0
FLICKER,87,2022-10-22,65,10.09,6.0,54.91,59.0
HELP ME SOMEBODY,94,2020-02-27,136,20.15,10.0,115.85,126.0
CHUNK OF COAL,112,2022-05-29,87,16.93,11.0,70.07,76.0
ME AND THE DEVIL BLUES,267,2023-04-19,42,10.69,7.0,31.310000000000002,35.0
STOP BREAKIN' DOWN BLUES,197,2023-12-31,17,7.05,6.0,9.95,11.0
RED BEANS,115,2022-02-20,99,20.71,12.0,78.28999999999999,87.0
GIVE,234,2023-05-27,37,6.13,5.0,30.87,32.0
TRAVELIN' LIGHT,1042,2024-04-14,10,3.06,2.0,6.9399999999999995,8.0
PUSHERMAN,138,2021-10-30,111,18.66,11.0,92.34,100.0
AND IT STONED ME,168,2022-01-22,105,18.15,10.0,86.85,95.0
FROM THE CRADLE,124,2023-03-04,50,7.93,5.0,42.07,45.0
DEGENERATE,16,2021-06-26,129,29.07,13.0,99.93,116.0
A OF D,274,2023-03-03,51,10.53,6.0,40.47,45.0
GRADLE,161,2023-03-04,50,12.44,7.0,37.56,43.0
HEROES,311,2023-04-15,45,7.1,4.0,37.9,41.0
PAPA JOHNNY ROAD,123,2023-05-27,37,9.74,5.0,27.259999999999998,32.0
NORTH,287,2024-04-14,10,5.26,5.0,4.74,5.0
THE BALLAD OF JOHN AND YOKO,19,2021-10-24,113,24.94,10.5,88.06,102.5
C. BROWN,811,2024-03-24,11,3.94,3.0,7.0600000000000005,8.0
1 X 1,147,2023-05-27,37,13.71,10.0,23.29,27.0
GLORY,118,2022-08-26,74,16.03,6.0,57.97,68.0
DRINKING MUDDY WATER,12,2022-02-18,101,34.73,15.0,66.27000000000001,86.0
SLEEPING MAN,244,2024-01-18,16,8.33,7.0,7.67,9.0
STOP-GO,800,2024-04-14,10,3.99,3.0,6.01,7.0
ONE KIND FAVOR,54,2022-07-24,80,31.57,18.0,48.43,62.0
NONE OF US ARE FREE,50,2022-08-27,73,20.71,7.0,52.29,66.0
RUMBLE,11,2023-06-23,35,18.8,16.0,16.2,19.0
COTTON WAS KING,119,2024-03-24,11,5.89,5.0,5.11,6.0
GIMME,195,2023-03-26,46,14.98,9.0,31.02,37.0
THIS PART OF TOWN,173,2023-10-28,20,8.45,6.0,11.55,14.0
CASA DEL GRILLO,89,2023-01-17,55,15.57,6.0,39.43,49.0
WONDERING,663,2024-04-25,6,3.76,3.0,2.24,3.0
HENRY PARSONS DIED,723,2024-05-24,5,3.27,3.0,1.73,2.0
THIN AIR (SMELLS LIKE MISSISSIPPI),105,2023-05-27,37,11.44,5.0,25.560000000000002,32.0
MAGGOT BRAIN,107,2023-04-18,43,21.87,16.0,21.13,27.0
FIXIN' TO DIE,112,2022-12-31,60,24.06,13.0,35.94,47.0
TIME WAITS,32,2022-07-23,81,35.68,11.0,45.32,70.0
AUNT AVIS,266,2024-03-22,13,7.33,5.0,5.67,8.0
SEND YOUR MIND,341,2024-01-19,15,7.67,5.0,7.33,10.0
TICKLE THE TRUTH,91,2023-12-30,18,10.16,7.0,7.84,11.0
BAYOU LENA,54,2022-08-26,74,23.26,6.0,50.739999999999995,68.0
