song_name,times_played_in_last_year,ltp_date,current_gap,avg_gap,med_gap
HENRY PARSONS DIED,14,2024-05-24,5,3.71,4.0
ROCK,14,2024-05-25,4,3.79,5.0
WONDERING,13,2024-04-25,6,4.15,5.0
DISCO,13,2024-05-25,4,3.92,4.0
DINER,12,2024-05-25,4,4.33,4.5
HATFIELD,11,2024-05-24,5,5.36,6.0
JACK,11,2024-04-17,7,4.64,5.0
WALKIN' (FOR YOUR LOVE),11,2024-04-25,6,4.91,5.0
BIG WOOLY MAMMOTH,11,2024-05-25,4,4.73,5.0
C. BROWN,11,2024-03-24,11,5.18,6.0
LITTLE KIN,10,2024-05-25,4,5.4,5.0
PILGRIMS,9,2024-05-25,4,5.67,6.0
SECOND SKIN,9,2024-04-15,9,5.22,4.0
SHUT UP AND DRIVE,9,2024-04-14,10,6.11,6.0
CONRAD,9,2024-05-25,4,6.33,6.0
PROVING GROUND,9,2024-05-24,5,5.67,0.0
JAMAIS VU,9,2024-05-24,5,5.78,3.0
CEASE FIRE,9,2024-05-24,5,5.78,4.0
NORTH,8,2024-04-14,10,5.88,6.5
CAN'T GET HIGH,8,2024-04-15,9,6.25,6.5
BOWLEGGED WOMAN,8,2024-04-14,10,5.62,5.5
GOIN' OUT WEST,8,2024-04-14,10,6.0,6.0
SEWING MACHINE,7,2024-04-14,10,6.57,7.0
LOW SPARK OF HIGH HEELED BOYS,7,2024-04-15,9,7.43,11.0
IMPOSSIBLE,7,2024-04-15,9,6.71,6.0
PROTEIN DRINK,7,2024-04-14,10,6.57,7.0
SEND YOUR MIND,7,2024-01-19,15,7.0,5.0
TAIL DRAGGER,7,2024-05-25,4,8.0,7.0
LIFE DURING WARTIME,7,2024-05-24,5,8.0,9.0
AUNT AVIS,7,2024-03-22,13,7.14,8.0
TRAVELIN' LIGHT,7,2024-04-14,10,7.29,6.0
TRAVELIN' MAN,6,2024-04-14,10,8.5,9.0
STOP-GO,6,2024-04-14,10,9.17,10.0
I'M SO GLAD,6,2024-04-17,7,8.5,9.0
FISHING,6,2024-04-17,7,52.83,7.0
SHARON,6,2024-04-16,8,8.17,9.0
RUNNING DOWN A DREAM,6,2024-03-22,13,7.17,6.0
THE WAKER,6,2024-04-14,10,8.5,9.0
WORRY,6,2024-04-16,8,10.5,9.0
