song,times_played,ltp_date,current_gap,avg_gap,gap_ratio,gap_z_score,ck+_score
Butter Rum,110,2025-05-10,22,4.150442477876106,5.300639658848614,1.916850282800361,10.160532629086775
White Lights,67,2025-02-13,31,5.847222222222222,5.30166270783848,1.0907704851847515,5.782897204114882
All I Need,141,2025-06-17,6,1.8135593220338984,3.3084112149532707,1.338288773719732,4.427609587820421
Arcadia,199,2025-06-12,8,2.8308457711442787,2.8260105448154658,1.4996279801494388,4.237964485202632
Elizabeth,61,2025-02-10,33,7.573770491803279,4.357142857142857,0.8872693101124027,3.8659591369183257
Feel It Now,30,2025-05-30,17,5.793103448275862,2.9345238095238093,1.107005474247037,3.248533921451126
Slow Ready,87,2025-06-04,13,4.797752808988764,2.7096018735363,1.0221774210776267,2.7696938552384407
Wysteria Lane,108,2025-06-04,13,4.824074074074074,2.694817658349328,0.781692977947895,2.1065200403816595
Time to Flee,102,2025-06-04,13,4.5046728971962615,2.8858921161825726,0.7125490160043023,2.056339587680466
Escape (The Piña Colada Song),28,2024-06-18,89,16.88888888888889,5.269736842105263,0.34368473675538014,1.8111281193490756
Arrow,77,2025-06-10,10,4.349397590361446,2.2991689750692523,0.7120793982604247,1.6371908602663505
Bob Don,55,2025-06-03,14,6.537037037037037,2.141643059490085,0.7370966750459597,1.578597978285398
Turbulence & The Night Rays,41,2025-06-06,12,5.775,2.0779220779220777,0.6926653606497692,1.439304645506014
Hot Tea,140,2025-06-19,5,3.14,1.592356687898089,0.8184098334805485,1.3032003717843128
Magic Carpet Ride,10,2024-06-18,89,20.3,4.384236453201971,0.28852403839966634,1.2649576067768624
Indian River,115,2025-06-06,12,4.93859649122807,2.4298401420959146,0.46267759465433633,1.1242325923394885
"One In, One Out",12,2025-06-10,10,6.181818181818182,1.6176470588235294,0.6738069498135996,1.0899818305808229
A Fifth Of Beethoven,13,2024-06-11,94,22.692307692307693,4.142372881355932,0.22203404580214495,0.9197478100685462
Shama Lama Ding Dong,43,2025-02-11,32,12.285714285714286,2.6046511627906974,0.34969683822618325,0.9108382763100586
Switchin',27,2024-09-03,77,19.03846153846154,4.044444444444444,0.22246465114189878,0.8997459223961239
Madhuvan,156,2025-06-19,5,3.3529411764705883,1.4912280701754386,0.5858890227358233,0.8736941567113155
726,37,2025-05-10,22,8.805555555555555,2.498422712933754,0.34517794269703367,0.8624004120380148
Creatures,131,2025-06-17,6,4.292307692307692,1.3978494623655915,0.6147908636647906,0.8593850782411052
Turned Clouds,116,2025-06-12,8,4.947826086956522,1.6168717047451668,0.5173046949545566,0.8364153240038523
Can't Get You Out Of My Head,22,2024-10-26,54,18.38095238095238,2.9378238341968914,0.2607434874477242,0.7660184320355421
The Whales,44,2025-06-04,13,7.534883720930233,1.7253086419753085,0.383357372794586,0.6614097882474492
Make The Move,18,2024-06-20,88,21.72222222222222,4.051150895140665,0.16240862239622184,0.6579418359990165
Tumble,116,2025-06-20,4,3.7083333333333335,1.0786516853932584,0.5322219851843185,0.574082141322411
I'm Alright,15,2024-06-20,88,24.4375,3.601023017902813,0.12819473689246005,0.4616321983237436
Look Out Cleveland,10,2024-09-22,63,29.555555555555557,2.131578947368421,0.18013343217197922,0.3839686317350083
Big Modern!,21,2025-06-21,3,3.619047619047619,0.8289473684210527,0.4530633605838135,0.37556568048395067
I Would Die 4 U,9,2025-05-25,20,13.0,1.5384615384615385,0.23902133317917906,0.3677251279679678
So Ready,141,2025-06-20,4,4.0212765957446805,0.9947089947089948,0.36409539131583973,0.362168960673957
Liza Jane,19,2024-06-25,84,22.27777777777778,3.770573566084788,0.08777351040821206,0.33095647814767243
Moby,20,2025-02-13,31,15.105263157894736,2.0522648083623696,0.15533921654549293,0.3187972074748967
Pancakes,55,2025-06-20,4,4.387096774193548,0.911764705882353,0.34635909723265257,0.31579800041800676
Lead the Way,85,2025-06-10,10,6.647058823529412,1.5044247787610618,0.2025190873559729,0.30467473319040167
Earthling or Alien?,46,2025-06-12,8,6.891304347826087,1.160883280757098,0.2528634737125954,0.2935449789471139
Red Bird,54,2025-06-20,4,5.09433962264151,0.7851851851851852,0.35489977870898726,0.2786620484677974
Dripfield,60,2025-06-21,3,4.333333333333333,0.6923076923076924,0.4015992732642374,0.27803026610601056
The W.S. Walcott Medicine Show,18,2024-09-24,62,24.055555555555557,2.577367205542725,0.0968676388700275,0.24966347570196462
Rock The Casbah,12,2024-10-30,52,25.90909090909091,2.007017543859649,0.12091983132703608,0.242688222873911
The Old Man's Boat,28,2025-06-03,14,10.481481481481481,1.335689045936396,0.17206536889911642,0.2298258284235548
Loose Ends,16,2024-11-12,43,23.8,1.8067226890756303,0.11916137519095862,0.21529156021895887
Drive,104,2025-06-20,4,4.243243243243243,0.9426751592356688,0.20154478699923437,0.18999126417762222
Doc Brown,44,2025-05-31,16,10.659090909090908,1.5010660980810235,0.12568000266054272,0.18865399120047352
Travelers,28,2025-05-30,17,11.962962962962964,1.4210526315789473,0.12831342559568124,0.18234013110965228
Inside Out,16,2025-02-13,31,24.066666666666666,1.2880886426592797,0.1257502119726144,0.16197741985392158
Electric Avenue,38,2025-06-01,15,11.81081081081081,1.2700228832951945,0.1226873935759776,0.1558157973333354
Turn On Your Love Light,52,2025-06-03,14,10.647058823529411,1.3149171270718232,0.11692289852633242,0.15374392181915533
