song,times_played,ltp_date,current_gap,avg_gap,gap_ratio,gap_z_score,ck+_score
Gotta Jibboo,323,2024-10-27,42,8.009287925696594,5.243911867027445,0.3005671687401777,1.5761477429954585
Mike's Song,553,2025-04-22,47,6.508741258741258,7.221058286328231,0.15740199078024197,1.1366089498082261
Plasma,140,2025-04-20,66,14.772413793103448,4.4677871148459385,0.1598433528949611,0.7141460724578794
Drifting,232,2003-02-26,68,10.593073593073592,6.419288925214548,0.10312808628274801,0.6620089821534147
Llama,332,2025-06-22,69,10.24924924924925,6.732200410196308,0.07402700505407961,0.4983646337906789
Alaska,150,2024-02-21,66,15.993288590604028,4.126731011330256,0.05100102939675773,0.21046752962136614
First Tube,442,2025-04-23,8,5.932126696832579,1.3485888634630052,0.11944954086430819,0.16108832055537517
The Moma Dance,248,2025-06-20,42,10.818548387096774,3.882221393961983,0.03868940332930463,0.1502008293246504
Jam,189,2025-01-28,33,16.11637931034483,2.0476063118480874,0.06773908730888506,0.13870298273250173
Ocelot,155,2025-01-28,50,15.616883116883116,3.2016632016632016,0.036518863762974,0.11692110227646561
Mozambique,169,1999-09-26,44,15.392857142857142,2.8584686774941996,0.038527436445289096,0.11012947030300735
Undermind,96,2024-08-31,67,25.147368421052633,2.6642946839681874,0.031394840864902615,0.08364510762038725
Stealing Time From the Faulty Plan,105,2024-08-04,66,22.96153846153846,2.8743718592964824,0.02696437479496901,0.07750564011418228
Foam,371,2024-07-27,20,9.844086021505376,2.0316766794101584,0.03701144162550743,0.07519528282189385
Lawn Boy,232,2024-07-31,23,15.400862068965518,1.4934228939266723,0.031355530329525594,0.04682706684532566
46 Days,249,2025-06-20,15,10.06,1.4910536779324055,0.02981805358583083,0.04446031846793861
No Men In No Man's Land,116,2025-04-22,42,18.53448275862069,2.266046511627907,0.0169212672143901,0.038344378543492354
Down with Disease,325,2025-06-21,12,9.1301775147929,1.3143227478937136,0.023464784540037514,0.030840300095396032
Good Times Bad Times,231,2024-07-26,26,16.182608695652174,1.6066630843632455,0.017396836167555788,0.027950854455127246
About to Run,65,2025-06-21,66,30.890625,2.1365705614567525,0.011539808978546595,0.02465561614839697
Sand,444,2025-04-27,3,5.898876404494382,0.5085714285714286,0.04388505883216698,0.02231868706321635
Crazy Sometimes,63,2023-10-11,60,32.523809523809526,1.8448023426061493,0.010668100707921879,0.0196805371771326
Chalk Dust Torture,579,2025-04-25,3,5.80672268907563,0.5166425470332852,0.030457809910266902,0.015735800489095928
Show of Life,81,2023-08-31,39,29.5625,1.3192389006342495,0.010819445293780334,0.014273433114839173
Windora Bug,43,2020-02-19,71,61.57142857142857,1.1531322505800465,0.009788297762837746,0.011287201828608723
A Wave of Hope,57,2025-06-21,50,34.714285714285715,1.4403292181069958,0.006858708542592865,0.009878798312376555
Cavern,493,2025-04-27,5,7.11623246492986,0.7026189805688539,0.013971249427491436,0.009816465030017216
Rise/Come Together,67,2022-07-29,41,31.318181818181817,1.309143686502177,0.0072411444748625665,0.009479698572316451
You Enjoy Myself,652,2025-04-27,3,5.556047197640118,0.5399522166179984,0.017338202137556772,0.009361800676344697
Stash,480,2025-06-21,4,7.228865979381443,0.5533371363377068,0.016385586927334085,0.009066753747583606
Bathtub Gin,378,2025-04-19,4,9.502617801047121,0.4209366391184573,0.019427564425321273,0.008177773675452039
Possum,603,2025-06-21,3,6.142156862745098,0.4884277733439744,0.015987412041492746,0.007808696064958947
It's Ice,255,2024-08-07,9,12.923371647509578,0.6964126890008895,0.01060660538089861,0.007386574574482904
Bouncing Around the Room,523,2025-06-20,3,6.862068965517241,0.4371859296482412,0.0162374286255897,0.0070987753287753965
Party Time,55,2024-08-18,50,44.05555555555556,1.1349306431273645,0.0057198803509670906,0.006491667485334656
Susskind Hotel,61,2012-07-04,32,31.97222222222222,1.000868809730669,0.006444948511401264,0.006450547945381631
Prince Caspian,203,2025-01-31,8,14.429268292682927,0.5544286680189316,0.01061657143971494,0.005886131562248985
AC/DC Bag,352,2025-04-26,5,10.683760683760683,0.468,0.011472400952679552,0.005369083645854031
Guelah Papyrus,216,2024-08-30,10,15.81651376146789,0.6322505800464037,0.007994629691537703,0.0050546092597309146
Back on the Train,283,2025-06-20,3,9.345070422535212,0.321024868123587,0.013547061376358067,0.004348943591807488
Sleeping Monkey,108,2025-04-19,23,30.94392523364486,0.7432799758381154,0.00567700579677795,0.004219604731461956
Maze,355,2025-04-22,5,9.298882681564246,0.5376990087113247,0.007483023293071797,0.004023614206848458
Waste,190,2025-04-22,6,15.232804232804233,0.3938867662382772,0.010203532190369546,0.004019036298672825
Divided Sky,472,2025-04-26,3,7.934182590233545,0.3781107840513781,0.010486417525654268,0.003965027552515247
Rift,321,2025-04-25,7,11.125,0.6292134831460674,0.006258460152173751,0.003937907511480113
Sample in a Jar,375,2025-06-20,3,8.56951871657754,0.35007800312012477,0.01123908956638205,0.0039345580322872565
Heavy Things,206,2024-10-27,5,12.795121951219512,0.390773922988944,0.009792696641709517,0.0038267304833214852
Tube,209,2025-04-18,9,16.592417061611375,0.5424164524421594,0.006786113388134629,0.0036808995498622283
Peaches en Regalia,92,2024-08-16,28,40.9010989010989,0.6845781837721655,0.005099328373647509,0.0034908889564894824
Wilson,359,2025-06-21,3,10.353591160220995,0.28975453575240123,0.012034312579973196,0.0034869966547094156
