song,times_played_last_year,last_time_played_date,current_show_gap,average_gap,median_gap
Chalk Dust Torture,12,2025-04-25,7,4.091,4.0
Harry Hood,12,2025-06-20,3,4.364,4.0
Everything's Right,11,2025-06-20,3,4.9,4.5
Evolve,11,2025-04-25,7,4.3,4.5
Wolfman's Brother,11,2025-06-20,3,4.9,5.0
46 Days,11,2025-06-20,3,4.7,4.5
Sand,11,2025-04-27,5,4.7,5.0
Theme From the Bottom,11,2025-06-20,3,4.7,4.5
Kill Devil Falls,10,2025-04-27,5,5.111,6.0
Sigma Oasis,10,2025-04-20,10,4.333,4.0
Character Zero,10,2025-04-23,8,4.778,5.0
The Moma Dance,10,2025-06-20,3,5.444,5.0
Bathtub Gin,10,2025-04-19,11,4.222,4.0
Back on the Train,10,2025-06-20,3,5.444,5.0
Light,9,2025-04-25,7,5.625,7.0
Fuego,9,2025-04-27,5,5.5,6.0
Run Like an Antelope,9,2025-04-26,6,5.25,4.5
No Men In No Man's Land,9,2025-04-22,9,5.25,5.0
Piper,9,2025-06-20,3,5.25,5.0
Twist,9,2025-06-20,3,6.0,6.0
Slave to the Traffic Light,9,2025-06-20,3,6.125,5.5
Maze,8,2025-04-22,9,5.714,5.0
Ruby Waves,8,2025-04-22,9,6.0,6.0
Golden Age,8,2025-04-18,12,5.286,5.0
First Tube,8,2025-04-23,8,6.143,5.0
Backwards Down the Number Line,8,2025-04-19,11,5.571,6.0
Tube,8,2025-04-18,12,5.571,6.0
Say It To Me S.A.N.T.O.S.,8,2025-04-27,5,6.0,5.0
Life Saving Gun,7,2025-06-20,3,7.167,7.0
More,7,2025-04-27,5,6.5,5.5
Crosseyed and Painless,7,2025-04-23,8,7.333,7.5
Bouncing Around the Room,7,2025-06-20,3,8.0,6.0
A Life Beyond The Dream,7,2025-04-25,7,6.167,4.0
Weekapaug Groove,6,2025-04-22,9,8.2,7.0
Split Open and Melt,6,2025-04-22,9,7.8,7.0
Sample in a Jar,6,2025-06-20,3,7.8,7.0
Monsters,6,2025-04-19,11,7.2,9.0
Hey Stranger,6,2025-04-27,5,8.6,9.0
Most Events Aren't Planned,6,2025-04-27,5,7.8,7.0
Mike's Song,6,2025-04-22,9,8.2,7.0
Cavern,5,2025-04-27,5,9.5,9.5
Simple,5,2025-04-23,8,10.25,9.5
Steam,5,2024-10-25,19,7.5,7.5
Rift,5,2025-04-25,7,10.5,9.0
Mountains in the Mist,5,2024-12-28,16,8.75,8.5
Cities,5,2025-04-20,10,8.25,7.5
What's the Use?,5,2025-04-22,9,7.25,7.0
Taste,5,2025-04-26,6,9.25,9.0
Lonely Trip,5,2025-04-23,8,11.0,9.0
Plasma,4,2025-04-20,10,11.667,12.0
I Am Hydrogen,4,2025-04-22,9,13.667,13.0
Gotta Jibboo,4,2024-10-27,17,11.0,10.0
Martian Monster,4,2025-04-26,6,14.333,17.0
My Soul,4,2025-04-22,4,12.667,8.0
Scents and Subtle Sounds,4,2025-04-20,10,13.333,8.0
Timber (Jerry the Mule),4,2025-04-27,5,14.667,9.0
The Squirming Coil,4,2025-04-26,6,13.333,7.0
Waste,4,2025-04-22,9,12.0,6.0
Divided Sky,4,2025-04-26,6,15.0,10.0
Farmhouse,4,2025-04-19,11,11.0,7.0
Beneath a Sea of Stars Part 1,4,2025-04-26,6,14.0,16.0
Roggae,4,2025-04-22,9,14.333,16.0
Ether Edge,4,2025-04-26,6,11.333,6.0
Birds of a Feather,4,2025-06-20,3,13.0,8.0
Limb By Limb,3,2024-10-27,17,13.0,13.0
Funky Bitch,3,2025-01-30,25,13.5,13.5
Ocelot,3,2025-01-28,4,18.0,18.0
Suzy Greenberg,3,2025-06-20,3,22.5,22.5
Saw It Again,3,2025-01-31,24,14.0,14.0
Boogie On Reggae Woman,3,2025-04-20,10,20.0,20.0
555,3,2025-04-26,6,17.5,17.5
Buried Alive,3,2025-04-22,9,19.5,19.5
NICU,3,2024-08-15,40,6.0,6.0
Mull,3,2025-04-18,12,16.0,16.0
Undermind,3,2024-08-31,28,8.5,8.5
Wading in the Velvet Sea,3,2025-04-23,8,12.0,12.0
Set Your Soul Free,3,2025-01-29,26,7.5,7.5
Driver,2,2024-12-28,16,18.0,18.0
The Old Home Place,2,2025-06-20,3,31.0,31.0
The Well,2,2025-04-23,8,35.0,35.0
Mercy,2,2025-02-01,23,22.0,22.0
Twenty Years Later,2,2025-01-30,25,16.0,16.0
Strange Design,2,2025-06-20,3,26.0,26.0
Joy,2,2025-04-27,5,41.0,41.0
Lifeboy,2,2025-04-27,5,37.0,37.0
If I Could,2,2025-04-18,12,27.0,27.0
Izabella,2,2024-08-18,37,12.0,12.0
Party Time,2,2024-08-18,36,13.0,13.0
The Lizards,2,2025-04-27,5,37.0,37.0
Shade,2,2025-01-30,25,13.0,13.0
Sleeping Monkey,2,2025-04-19,11,8.0,8.0
It's Ice,2,2024-08-07,34,13.0,13.0
Heavy Things,2,2024-10-27,17,21.0,21.0
Jam,2,2025-01-28,4,16.0,16.0
Grind,2,2024-12-31,13,26.0,26.0
Punch You in the Eye,2,2025-04-23,8,30.0,30.0
My Sweet One,2,2025-01-29,17,9.0,9.0
