song,times_played,ltp_date,current_gap,avg_gap,gap_ratio,gap_z_score,ck+_score
YOU SHOULD BE GLAD,171,2023-02-09,68,6.2631578947368425,10.857142857142856,1.4237974396502469,15.458372201916964
PAPA LEGBA,372,2023-04-18,57,8.11021505376344,7.028173682466027,1.0475890600074838,7.36263786158392
GIVE,234,2023-05-27,51,6.133047210300429,8.31560531840448,0.7107534514394558,5.910345180864279
SUNDOWN BETTY,24,2023-08-27,41,8.173913043478262,5.01595744680851,1.079143726595992,5.412939011595853
HEROES,311,2023-04-15,59,7.103225806451613,8.306085376930064,0.4519198047816824,3.7536844820422215
A OF D,274,2023-03-03,65,10.534798534798535,6.170027816411683,0.32414477872416353,1.999982301272699
STRANGER IN A STRANGE LAND,7,2024-03-22,27,7.230769230769231,3.734042553191489,0.43109640925359416,1.609732336680974
DRIVING SONG,828,2025-05-16,4,2.1063690085357845,1.8990024937655863,0.7805489692276552,1.482264439069475
GRADLE,161,2023-03-04,64,12.4375,5.1457286432160805,0.2871773791474334,1.4777368655626724
STOP-GO,779,2025-03-21,10,4.007509386733417,2.495315427857589,0.5219333126589615,1.3023882473907253
TICKLE THE TRUTH,91,2023-12-30,32,10.155555555555555,3.1509846827133483,0.32586076928630003,1.0267822927183197
TIME ZONES,126,2023-12-30,32,8.68,3.686635944700461,0.26604215330838893,0.9808005651922173
1 X 1,147,2023-05-27,51,13.712328767123287,3.7192807192807193,0.24506611389526986,0.91146967235973
IMPOSSIBLE,454,2024-04-15,23,6.57488986784141,3.498157453936348,0.2602669566250315,0.9104547943311821
VISITING DAY,134,2023-12-30,32,10.789473684210526,2.9658536585365853,0.2866579463669846,0.8501855189811055
MAKES SENSE TO ME,672,2025-04-25,6,3.923994038748137,1.529054310672237,0.5191947027868384,0.7938768983744062
HENRY PARSONS DIED,706,2025-05-16,4,3.2922437673130194,1.2149768615902399,0.6309701589459958,0.7666141434733008
TAIL DRAGGER,89,2025-02-16,11,6.454545454545454,1.7042253521126762,0.4492788974706132,0.7656724872386508
CONRAD,731,2025-04-24,7,4.373972602739726,1.6003758221108675,0.46559778457524015,0.7451314372625986
BLUE CAROUSEL,9,2025-04-26,5,4.25,1.1764705882352942,0.5935587989523683,0.6983044693557274
THIN AIR (SMELLS LIKE MISSISSIPPI),105,2023-05-27,51,11.442307692307692,4.457142857142857,0.15573349589396984,0.6941264388416942
HOLDEN OVERSOUL,812,2025-04-24,7,3.7031630170316303,1.8902759526938238,0.36255451501828445,0.6853280812796348
TALL BOY,510,2025-05-16,4,3.84765625,1.0395939086294417,0.650254107142318,0.6760002088464301
PROVING GROUND,662,2025-04-25,6,3.772020725388601,1.5906593406593406,0.3941361590752158,0.6269363629245878
COTTON WAS KING,119,2025-03-21,10,6.016949152542373,1.6619718309859155,0.335215975717467,0.5571195089388887
LITTLE BY LITTLE,17,2025-06-04,2,2.6875,0.7441860465116279,0.7335651097155634,0.5459089188580937
CASA DEL GRILLO,89,2023-01-17,69,15.568181818181818,4.432116788321168,0.10955795103113579,0.48557363405916537
WE WALK EACH OTHER HOME,16,2025-06-04,2,2.8,0.7142857142857143,0.6599545966855683,0.4713961404896917
RUMBLE,11,2023-06-23,49,18.8,2.606382978723404,0.1672530878362034,0.43592560127521096
HOPE IN A HOPELESS WORLD,171,2023-12-31,31,11.105882352941176,2.791313559322034,0.15525441282974733,0.4333637476762545
BARSTOOLS AND DREAMERS,723,2025-04-26,5,4.192563081009296,1.192587899904973,0.3387034745821141,0.40393366544240084
LET'S GET DOWN TO BUSINESS,200,2024-05-24,19,10.376884422110553,1.8309927360774818,0.2051082568223927,0.3755517283513156
CAN'T GET HIGH,371,2025-03-21,10,6.127027027027027,1.6321129245699162,0.21668387623681903,0.35365255495202047
FISHWATER,850,2025-05-17,3,2.982905982905983,1.005730659025788,0.3499242590193185,0.35192955563260975
HEAVEN,330,2024-04-16,22,9.512121212121212,2.3128384835935014,0.1493267000366045,0.345368538472682
PILGRIMS,573,2025-05-16,4,4.181500872600349,0.9565943238731218,0.34123610816603295,0.32642452417218176
HONEY BEE,21,2024-05-25,18,11.0,1.6363636363636365,0.19543597420485778,0.3198043214261309
WHO DO YOU BELONG TO?,258,2024-04-14,24,8.782101167315176,2.732831191847585,0.11598516443863993,0.3169678751694865
SAINT EX,149,2025-05-16,4,4.798657718120805,0.8335664335664337,0.36737116507430184,0.3062282718661314
STEVEN'S CAT,53,2025-02-14,13,7.346153846153846,1.7696335078534031,0.16748213578007176,0.2963819994432684
JADED TOURIST,39,2023-02-11,66,17.0,3.8823529411764706,0.0728212615418168,0.28271783892705343
BLACKOUT BLUES,555,2025-05-17,3,3.963898916967509,0.7568306010928962,0.36563961283557284,0.27672724796572046
